Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Desirability 
3,Process,Flowchart Shapes,1,,,,,,,Feasibility of goals 
5,Process,Flowchart Shapes,1,,,,,,,Goal intention 
6,Process,Flowchart Shapes,1,,,,,,,Somatic marker processes 
7,Process,Flowchart Shapes,1,,,,,,,Previous emotional experiences with behaviour 
9,Process,Flowchart Shapes,1,,,,,,,Normative beliefs 
10,Process,Flowchart Shapes,1,,,,,,,Motivation to comply 
11,Process,Flowchart Shapes,1,,,,,,,Subjective norms 
13,Process,Flowchart Shapes,1,,,,,,,Beliefs
14,Process,Flowchart Shapes,1,,,,,,,Evaluations 
15,Process,Flowchart Shapes,1,,,,,,,Attitudes 
17,Process,Flowchart Shapes,1,,,,,,,Moral imperatives 
18,Process,Flowchart Shapes,1,,,,,,,Desire
19,Process,Flowchart Shapes,1,,,,,,,Social identity processes 
20,Process,Flowchart Shapes,1,,,,,,,Implementation intentions
21,Process,Flowchart Shapes,1,,,,,,,Perceived behavioural control 
22,Process,Flowchart Shapes,1,,,,,,,Anticipated emotions 
23,Process,Flowchart Shapes,1,,,,,,,Trying
25,Process,Flowchart Shapes,1,,,,,,,Antecedents of goal-directed behaviour 
26,Process,Flowchart Shapes,1,,,,,,,Performance of goal-directed behaviours 
27,Process,Flowchart Shapes,1,,,,,,,Situational Forces 
28,Process,Flowchart Shapes,1,,,,,,,Goal attainment / failure 
29,Process,Flowchart Shapes,1,,,,,,,Feedback 
30,Process,Flowchart Shapes,1,,,,,,,Recency of past behaviour 
31,Process,Flowchart Shapes,1,,,,,,,Frequency of past behaviour
32,Process,Flowchart Shapes,1,,,,,,,Low
33,Process,Flowchart Shapes,1,,,,,,,High
35,Process,Flowchart Shapes,1,,,,,,,Self-conscious emotions
36,Process,Flowchart Shapes,1,,,,,,,Moral emotions
37,Process,Flowchart Shapes,1,,,,,,,"Virtues, values, other individual differences"
38,Process,Flowchart Shapes,1,,,,,,,Empathy
39,Process,Flowchart Shapes,1,,,,,,,Social and personal identity
50,Line,,1,,,6,22,None,Arrow,
51,Line,,1,,,22,18,None,Arrow,
54,Line,,1,,,21,18,None,Arrow,
55,Line,,1,,,20,146,None,Arrow,relates through
58,Line,,1,,,28,29,None,Arrow,+/-
59,Line,,1,,,5,18,None,Arrow,+
60,Line,,1,,,11,18,None,Arrow,
65,Line,,1,,,15,18,None,Arrow,
66,Line,,1,,,23,26,None,Arrow,+
67,Line,,1,,,21,26,None,Arrow,+
68,Line,,1,,,21,23,None,Arrow,+
69,Line,,1,,,18,148,None,Arrow,relates through
79,Line,,1,,,29,25,None,Arrow,
80,Line,,1,,,31,18,None,Arrow,
81,Line,,1,,,17,18,None,Arrow,
83,Line,,1,,,19,18,None,Arrow,
84,Line,,1,,,19,20,None,Arrow,
85,Line,,1,,,32,20,None,Arrow,
88,Line,,1,,,26,144,None,Arrow,relates through
89,Line,,1,,,27,144,None,Arrow,
90,Line,,1,,,30,26,None,Arrow,+
92,Line,,1,,,33,26,None,Arrow,
93,Line,,1,,,21,20,None,Arrow,
95,Line,,1,,,35,146,None,Arrow,
96,Line,,1,,,36,146,None,Arrow,
97,Line,,1,,,37,146,None,Arrow,
98,Line,,1,,,38,146,None,Arrow,
99,Line,,1,,,39,146,None,Arrow,
100,Line,,1,,,39,148,None,Arrow,
101,Line,,1,,,38,148,None,Arrow,
102,Line,,1,,,37,148,None,Arrow,
103,Line,,1,,,36,148,None,Arrow,
104,Line,,1,,,35,148,None,Arrow,
105,Line,,1,,,2,5,None,Arrow,*
107,Line,,1,,,3,5,None,Arrow,*
109,Line,,1,,,7,6,None,Arrow,Part of
111,Line,,1,,,9,11,None,Arrow,*
113,Line,,1,,,10,11,None,Arrow,*
114,Line,,1,,,13,15,None,Arrow,*
116,Line,,1,,,13,11,None,Arrow,*
117,Line,,1,,,14,15,None,Arrow,*
119,Line,,1,,,14,11,None,Arrow,*
120,Line,,1,,,11,25,None,Arrow,Part of
121,Line,,1,,,22,25,None,Arrow,Part of
122,Line,,1,,,19,25,None,Arrow,Part of
123,Line,,1,,,4,25,None,Arrow,Part of
124,Line,,1,,,12,25,None,Arrow,Part of
125,Line,,1,,,16,25,None,Arrow,Part of
126,Line,,1,,,6,25,None,Arrow,Part of
127,Line,,1,,,5,25,None,Arrow,Part of
128,Line,,1,,,15,25,None,Arrow,Part of
129,Line,,1,,,21,25,None,Arrow,Part of
130,Line,,1,,,18,25,None,Arrow,Part of
131,Line,,1,,,31,25,None,Arrow,Part of
132,Line,,1,,,17,25,None,Arrow,Part of
133,Line,,1,,,20,25,None,Arrow,Part of
134,Line,,1,,,23,25,None,Arrow,Part of
135,Line,,1,,,30,25,None,Arrow,Part of
136,Line,,1,,,2,25,None,Arrow,Part of
137,Line,,1,,,3,25,None,Arrow,Part of
138,Line,,1,,,9,25,None,Arrow,Part of
139,Line,,1,,,10,25,None,Arrow,Part of
140,Line,,1,,,13,25,None,Arrow,Part of
141,Line,,1,,,14,25,None,Arrow,Part of
142,Line,,1,,,33,31,None,Arrow,Part of
143,Line,,1,,,32,31,None,Arrow,Part of
144,Terminator,Flowchart Shapes,1,,,,,,,the 'Performance of goal-directed behaviours' to 'Goal attainment / failure' Influences relationship
145,Line,,1,,,144,28,None,Arrow,relates to
146,Terminator,Flowchart Shapes,1,,,,,,,the 'Implementation intentions' to 'Trying' Positively influences relationship
147,Line,,1,,,146,23,None,Arrow,relates to
148,Terminator,Flowchart Shapes,1,,,,,,,the 'Desire' to 'Implementation intentions' Influences relationship
149,Line,,1,,,148,20,None,Arrow,relates to
