Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Time
3,Process,Flowchart Shapes,1,,,,,,,Social system
4,Process,Flowchart Shapes,1,,,,,,,Innovation
5,Process,Flowchart Shapes,1,,,,,,,Communication Channels
6,Process,Flowchart Shapes,1,,,,,,,Technology
8,Process,Flowchart Shapes,1,,,,,,,Hardware aspect
9,Process,Flowchart Shapes,1,,,,,,,Software aspect
11,Process,Flowchart Shapes,1,,,,,,,Uncertainty
12,Process,Flowchart Shapes,1,,,,,,,Software information
13,Process,Flowchart Shapes,1,,,,,,,Innovation-evaluation information
14,Process,Flowchart Shapes,1,,,,,,,Innovation clusters
16,Process,Flowchart Shapes,1,,,,,,,Adoption/rejection
17,Process,Flowchart Shapes,1,,,,,,,Characteristics of Innovations
18,Process,Flowchart Shapes,1,,,,,,,Relative advantage
19,Process,Flowchart Shapes,1,,,,,,,Compatibility
20,Process,Flowchart Shapes,1,,,,,,,Complexity
21,Process,Flowchart Shapes,1,,,,,,,Trialability
22,Process,Flowchart Shapes,1,,,,,,,Observability
23,Process,Flowchart Shapes,1,,,,,,,Reinvention
25,Process,Flowchart Shapes,1,,,,,,,Mass media
26,Process,Flowchart Shapes,1,,,,,,,Interpersonal
27,Process,Flowchart Shapes,1,,,,,,,Near-peers
29,Process,Flowchart Shapes,1,,,,,,,Modelling
30,Process,Flowchart Shapes,1,,,,,,,Homophilious
32,Process,Flowchart Shapes,1,,,,,,,Localite channels
33,Process,Flowchart Shapes,1,,,,,,,Cosmopolite channels
35,Process,Flowchart Shapes,1,,,,,,,Innovation-decision
36,Process,Flowchart Shapes,1,,,,,,,Knowledge 
37,Process,Flowchart Shapes,1,,,,,,,Persuasion
38,Process,Flowchart Shapes,1,,,,,,,Decision
39,Process,Flowchart Shapes,1,,,,,,,Implementation
40,Process,Flowchart Shapes,1,,,,,,,Confirmation
42,Process,Flowchart Shapes,1,,,,,,,Adopter categories
43,Process,Flowchart Shapes,1,,,,,,,Innovators
44,Process,Flowchart Shapes,1,,,,,,,Innovativeness
45,Process,Flowchart Shapes,1,,,,,,,Early adopters
46,Process,Flowchart Shapes,1,,,,,,,Early majority
47,Process,Flowchart Shapes,1,,,,,,,Late majority
48,Process,Flowchart Shapes,1,,,,,,,Laggards
49,Process,Flowchart Shapes,1,,,,,,,Rate of adoption
51,Process,Flowchart Shapes,1,,,,,,,Social Structure
52,Process,Flowchart Shapes,1,,,,,,,Communication structure
54,Process,Flowchart Shapes,1,,,,,,,System norms
56,Process,Flowchart Shapes,1,,,,,,,Communication networks
57,Process,Flowchart Shapes,1,,,,,,,Change agents
58,Process,Flowchart Shapes,1,,,,,,,Aides
60,Process,Flowchart Shapes,1,,,,,,,Optional innovation-decision
61,Process,Flowchart Shapes,1,,,,,,,Collective innovation-decision
62,Process,Flowchart Shapes,1,,,,,,,Authority innovation-decision
63,Process,Flowchart Shapes,1,,,,,,,Contingent innovation-decision
65,Process,Flowchart Shapes,1,,,,,,,Prior adoption of innovation
67,Process,Flowchart Shapes,1,,,,,,,Consequences of adoption
69,Process,Flowchart Shapes,1,,,,,,,Desirable vs undesirable
70,Process,Flowchart Shapes,1,,,,,,,Direct vs indirect 
71,Process,Flowchart Shapes,1,,,,,,,Anticipated vs unanticipated
72,Process,Flowchart Shapes,1,,,,,,,Cost
73,Process,Flowchart Shapes,1,,,,,,,Radicalness
74,Process,Flowchart Shapes,1,,,,,,,Opinion leaders
75,Process,Flowchart Shapes,1,,,,,,,Density
76,Process,Flowchart Shapes,1,,,,,,,Clustering
77,Process,Flowchart Shapes,1,,,,,,,Centralisation
78,Process,Flowchart Shapes,1,,,,,,,Low
79,Process,Flowchart Shapes,1,,,,,,,Very low
80,Process,Flowchart Shapes,1,,,,,,,High
81,Process,Flowchart Shapes,1,,,,,,,Very high
83,Process,Flowchart Shapes,1,,,,,,,Thresholds
85,Process,Flowchart Shapes,1,,,,,,,Network structural indicators
87,Process,Flowchart Shapes,1,,,,,,,Diffusion rate
88,Process,Flowchart Shapes,1,,,,,,,Individual
89,Process,Flowchart Shapes,1,,,,,,,Population
90,Process,Flowchart Shapes,1,,,,,,,Rate of imitation
91,Process,Flowchart Shapes,1,,,,,,,Rate of innovation
100,Line,,1,,,12,13,None,Arrow,
101,Line,,1,,,13,11,None,Arrow,-
104,Line,,1,,,14,16,None,Arrow,+
105,Line,,1,,,17,16,None,Arrow,
113,Line,,1,,,5,16,None,Arrow,+
118,Line,,1,,,26,29,None,Arrow,
119,Line,,1,,,29,16,None,Arrow,+
121,Line,,1,,,4,16,None,Arrow,
129,Line,,1,,,35,2,None,Arrow,
136,Line,,1,,,36,37,Arrow,Arrow,Transition
137,Line,,1,,,37,38,Arrow,Arrow,Transition
138,Line,,1,,,38,39,Arrow,Arrow,Transition
139,Line,,1,,,39,40,Arrow,Arrow,Transition
140,Line,,1,,,44,2,None,Arrow,
141,Line,,1,,,42,44,None,Arrow,
148,Line,,1,,,2,49,None,Arrow,
150,Line,,1,,,3,49,None,Arrow,
151,Line,,1,,,51,11,None,Arrow,-
152,Line,,1,,,52,30,None,Arrow,+
156,Line,,1,,,54,16,None,Arrow,+/-
159,Line,,1,,,57,35,None,Arrow,
160,Line,,1,,,57,58,None,Arrow,
161,Line,,1,,,58,35,None,Arrow,
165,Line,,1,,,58,30,None,Arrow,
166,Line,,1,,,35,16,None,Arrow,
179,Line,,1,,,35,67,None,Arrow,
180,Line,,1,,,67,3,None,Arrow,
186,Line,,1,,,,,None,Arrow,
195,Line,,1,,,83,44,None,Arrow,
199,Line,,1,,,85,56,None,Arrow,
204,Line,,1,,,85,87,None,Arrow,
208,Line,,1,,,6,4,None,Arrow,Type of
209,Line,,1,,,9,6,None,Arrow,Part of
210,Line,,1,,,8,6,None,Arrow,Part of
211,Line,,1,,,12,6,None,Arrow,Part of
212,Line,,1,,,14,4,None,Arrow,Part of
213,Line,,1,,,17,4,None,Arrow,Part of
214,Line,,1,,,19,17,None,Arrow,Part of
215,Line,,1,,,22,17,None,Arrow,Part of
216,Line,,1,,,20,17,None,Arrow,Part of
217,Line,,1,,,21,17,None,Arrow,Part of
218,Line,,1,,,18,17,None,Arrow,Part of
219,Line,,1,,,23,17,None,Arrow,Part of
220,Line,,1,,,73,17,None,Arrow,Part of
221,Line,,1,,,72,17,None,Arrow,Part of
222,Line,,1,,,30,26,None,Arrow,Type of
223,Line,,1,,,32,26,None,Arrow,Type of
224,Line,,1,,,33,26,None,Arrow,Type of
225,Line,,1,,,27,26,None,Arrow,Type of
226,Line,,1,,,74,26,None,Arrow,Type of
227,Line,,1,,,74,26,None,Arrow,Type of
228,Line,,1,,,25,5,None,Arrow,Type of
229,Line,,1,,,26,5,None,Arrow,Type of
230,Line,,1,,,32,25,None,Arrow,Type of
231,Line,,1,,,33,25,None,Arrow,Type of
232,Line,,1,,,60,35,None,Arrow,Type of
233,Line,,1,,,61,35,None,Arrow,Type of
234,Line,,1,,,62,35,None,Arrow,Type of
235,Line,,1,,,63,35,None,Arrow,Type of
236,Line,,1,,,49,16,None,Arrow,Type of
237,Line,,1,,,51,3,None,Arrow,Part of
238,Line,,1,,,52,3,None,Arrow,Part of
239,Line,,1,,,54,3,None,Arrow,Part of
240,Line,,1,,,60,3,None,Arrow,Part of
241,Line,,1,,,61,3,None,Arrow,Part of
242,Line,,1,,,62,3,None,Arrow,Part of
243,Line,,1,,,63,3,None,Arrow,Part of
244,Line,,1,,,85,54,None,Arrow,Type of
245,Line,,1,,,57,85,None,Arrow,Type of
246,Line,,1,,,36,35,None,Arrow,Part of
247,Line,,1,,,37,35,None,Arrow,Part of
248,Line,,1,,,38,35,None,Arrow,Part of
249,Line,,1,,,39,35,None,Arrow,Part of
250,Line,,1,,,40,35,None,Arrow,Part of
251,Line,,1,,,65,63,None,Arrow,Part of
252,Line,,1,,,69,67,None,Arrow,Type of
253,Line,,1,,,70,67,None,Arrow,Type of
254,Line,,1,,,71,67,None,Arrow,Type of
255,Line,,1,,,43,42,None,Arrow,Type of
256,Line,,1,,,45,42,None,Arrow,Type of
257,Line,,1,,,46,42,None,Arrow,Type of
258,Line,,1,,,47,42,None,Arrow,Type of
259,Line,,1,,,48,42,None,Arrow,Type of
260,Line,,1,,,81,83,None,Arrow,Type of
261,Line,,1,,,80,83,None,Arrow,Type of
262,Line,,1,,,78,83,None,Arrow,Type of
263,Line,,1,,,79,83,None,Arrow,Type of
264,Line,,1,,,75,85,None,Arrow,Type of
265,Line,,1,,,76,85,None,Arrow,Type of
266,Line,,1,,,77,85,None,Arrow,Type of
