Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Demographic variables
3,Process,Flowchart Shapes,1,,,,,,,Perceived benefits
4,Process,Flowchart Shapes,1,,,,,,,Perceived barriers
5,Process,Flowchart Shapes,1,,,,,,,Social psychological variables
6,Process,Flowchart Shapes,1,,,,,,,Perceived threat
7,Process,Flowchart Shapes,1,,,,,,,Likelihood of preventative action
8,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
9,Process,Flowchart Shapes,1,,,,,,,Structural variables
10,Process,Flowchart Shapes,1,,,,,,,Perceived severity
11,Process,Flowchart Shapes,1,,,,,,,Perceived susceptibility
12,Process,Flowchart Shapes,1,,,,,,,Cues to action
13,Line,,1,,,2,3,None,Arrow,
14,Line,,1,,,2,4,None,Arrow,
15,Line,,1,,,2,8,None,Arrow,
16,Line,,1,,,5,3,None,Arrow,
17,Line,,1,,,5,4,None,Arrow,
18,Line,,1,,,5,8,None,Arrow,
19,Line,,1,,,9,3,None,Arrow,
20,Line,,1,,,9,4,None,Arrow,
21,Line,,1,,,9,8,None,Arrow,
22,Line,,1,,,3,7,None,Arrow,+
23,Line,,1,,,4,7,None,Arrow,-
24,Line,,1,,,8,7,None,Arrow,+
25,Line,,1,,,10,6,None,Arrow,Part of
26,Line,,1,,,11,6,None,Arrow,Part of
27,Line,,1,,,6,7,None,Arrow,+
28,Line,,1,,,12,,None,Arrow,+
