Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Motivation
3,Process,Flowchart Shapes,1,,,,,,,Ability
4,Process,Flowchart Shapes,1,,,,,,,Opportunity
5,Process,Flowchart Shapes,1,,,,,,,Habits
6,Process,Flowchart Shapes,1,,,,,,,Task knowledge
8,Process,Flowchart Shapes,1,,,,,,,Behaviour
12,Line,,1,,,2,19,None,Arrow,relates through
13,Line,,1,,,3,19,None,Arrow,
14,Line,,1,,,4,19,None,Arrow,
15,Line,,1,,,8,3,None,Arrow,
16,Line,,1,,,3,2,None,Arrow,
17,Line,,1,,,5,3,None,Arrow,Part of
18,Line,,1,,,6,3,None,Arrow,Part of
19,Terminator,Flowchart Shapes,1,,,,,,,the 'Motivation' to 'Behaviour' Influences relationship
20,Line,,1,,,19,8,None,Arrow,relates to
