Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Perception of need and responsibility
3,Process,Flowchart Shapes,1,,,,,,,Awareness of need
4,Process,Flowchart Shapes,1,,,,,,,Perception that need can be relieved by action
5,Process,Flowchart Shapes,1,,,,,,,Recognition of own ability to provide relief
6,Process,Flowchart Shapes,1,,,,,,,Causal responsibility
7,Process,Flowchart Shapes,1,,,,,,,Distinctive Suitability
8,Process,Flowchart Shapes,1,,,,,,,Directed appeal
9,Process,Flowchart Shapes,1,,,,,,,Specific personal norms
10,Process,Flowchart Shapes,1,,,,,,,Social norms
11,Process,Flowchart Shapes,1,,,,,,,"Assessment, evaluation and reassessment"
12,Process,Flowchart Shapes,1,,,,,,,Assessment and evaluation of responses
13,Process,Flowchart Shapes,1,,,,,,,Denial of the state of Need
14,Process,Flowchart Shapes,1,,,,,,,Denial of responsibility to respond
15,Process,Flowchart Shapes,1,,,,,,,Denial of suitability of norms
16,Process,Flowchart Shapes,1,,,,,,,Action or inaction response
20,Process,Flowchart Shapes,1,,,,,,,Costs and benefits
22,Process,Flowchart Shapes,1,,,,,,,Physical
23,Process,Flowchart Shapes,1,,,,,,,Psychological
24,Process,Flowchart Shapes,1,,,,,,,Moral
25,Process,Flowchart Shapes,1,,,,,,,Reassessment and redefinition of the situation
26,Process,Flowchart Shapes,1,,,,,,,Social
27,Process,Flowchart Shapes,1,,,,,,,Accountability
28,Process,Flowchart Shapes,1,,,,,,,Arousal of some sense of responsibility to respond
29,Process,Flowchart Shapes,1,,,,,,,Activation of norms
37,Line,,1,,,5,28,None,Arrow,
38,Line,,1,,,11,16,None,Arrow,+
39,Line,,1,,,29,11,None,Arrow,+
40,Line,,1,,,6,28,None,Arrow,
41,Line,,1,,,7,28,None,Arrow,
42,Line,,1,,,9,16,None,Arrow,
43,Line,,1,,,10,9,None,Arrow,
49,Line,,1,,,8,28,None,Arrow,
50,Line,,1,,,27,28,None,Arrow,
52,Line,,1,,,12,25,Arrow,Arrow,Transition
56,Line,,1,,,12,9,None,Arrow,
57,Line,,1,,,10,26,None,Arrow,
58,Line,,1,,,3,4,None,Arrow,
59,Line,,1,,,4,5,None,Arrow,
61,Line,,1,,,2,88,None,Arrow,relates through
62,Line,,1,,,28,88,None,Arrow,+
66,Line,,1,,,25,16,None,Arrow,+
70,Line,,1,,,9,25,None,Arrow,
72,Line,,1,,,3,2,None,Arrow,Part of
73,Line,,1,,,4,2,None,Arrow,Part of
74,Line,,1,,,5,2,None,Arrow,Part of
75,Line,,1,,,28,2,None,Arrow,Part of
76,Line,,1,,,12,11,None,Arrow,Part of
77,Line,,1,,,25,11,None,Arrow,Part of
78,Line,,1,,,20,12,None,Arrow,Part of
79,Line,,1,,,24,20,None,Arrow,Type of
80,Line,,1,,,26,20,None,Arrow,Type of
81,Line,,1,,,22,20,None,Arrow,Type of
82,Line,,1,,,23,20,None,Arrow,Type of
83,Line,,1,,,15,25,None,Arrow,Part of
84,Line,,1,,,14,25,None,Arrow,Part of
85,Line,,1,,,13,25,None,Arrow,Part of
86,Line,,1,,,10,29,None,Arrow,Part of
87,Line,,1,,,9,29,None,Arrow,Part of
88,Terminator,Flowchart Shapes,1,,,,,,,the 'Perception of need and responsibility' to 'Activation of norms' Positively influences relationship
89,Line,,1,,,88,29,None,Arrow,relates to
