Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Differential reinforcement
3,Process,Flowchart Shapes,1,,,,,,,Intermittent reinforcement
4,Process,Flowchart Shapes,1,,,,,,,Fixed-interval reinforcement
5,Process,Flowchart Shapes,1,,,,,,,Variable-interval reinforcement
6,Process,Flowchart Shapes,1,,,,,,,Fixed-ratio reinforcement
7,Process,Flowchart Shapes,1,,,,,,,Variable-ratio reinforcement
8,Process,Flowchart Shapes,1,,,,,,,Combined schedule of reinforcement
9,Process,Flowchart Shapes,1,,,,,,,Schedule of reinforcement
10,Process,Flowchart Shapes,1,,,,,,,Reinforcement
11,Process,Flowchart Shapes,1,,,,,,,Neutral stimuli
12,Process,Flowchart Shapes,1,,,,,,,Conditioned reinforcer
13,Process,Flowchart Shapes,1,,,,,,,Generalised reinforcer
14,Process,Flowchart Shapes,1,,,,,,,Stimulus
15,Process,Flowchart Shapes,1,,,,,,,Response
16,Process,Flowchart Shapes,1,,,,,,,Operant behaviour
17,Process,Flowchart Shapes,1,,,,,,,Extinction
19,Process,Flowchart Shapes,1,,,,,,,Primary reinforcer
22,Process,Flowchart Shapes,1,,,,,,,Multiple primary reinforcers
25,Process,Flowchart Shapes,1,,,,,,,Positive reinforcement
26,Process,Flowchart Shapes,1,,,,,,,Response cost
27,Process,Flowchart Shapes,1,,,,,,,Negative punishment
28,Process,Flowchart Shapes,1,,,,,,,Operant discrimination
29,Process,Flowchart Shapes,1,,,,,,,Shaping and chaining
30,Process,Flowchart Shapes,1,,,,,,,Stimulus and situational generalisation
31,Process,Flowchart Shapes,1,,,,,,,Skill / performance deficits
32,Process,Flowchart Shapes,1,,,,,,,Response generalisation
33,Line,,1,,,11,86,None,Arrow,relates through
34,Line,,1,,,12,88,None,Arrow,relates through
49,Line,,1,,,14,15,None,Arrow,
51,Line,,1,,,14,28,None,Arrow,
53,Line,,1,,,30,14,None,Arrow,
54,Line,,1,,,16,29,None,Arrow,
55,Line,,1,,,16,30,None,Arrow,
58,Line,,1,,,15,10,None,Arrow,
59,Line,,1,,,10,17,None,Arrow,
60,Line,,1,,,10,16,None,Arrow,
61,Line,,1,,,29,10,None,Arrow,
64,Line,,1,,,16,32,None,Arrow,
65,Line,,1,,,32,15,None,Arrow,
66,Line,,1,,,13,10,None,Arrow,
69,Line,,1,,,9,10,None,Arrow,Type of
70,Line,,1,,,25,10,None,Arrow,Type of
71,Line,,1,,,28,10,None,Arrow,Type of
72,Line,,1,,,31,10,None,Arrow,Type of
73,Line,,1,,,27,10,None,Arrow,Type of
74,Line,,1,,,26,10,None,Arrow,Type of
75,Line,,1,,,11,86,None,Arrow,*
76,Line,,1,,,19,86,None,Arrow,*
77,Line,,1,,,12,88,None,Arrow,*
78,Line,,1,,,22,88,None,Arrow,*
79,Line,,1,,,2,9,None,Arrow,Type of
80,Line,,1,,,3,9,None,Arrow,Type of
81,Line,,1,,,8,3,None,Arrow,Type of
82,Line,,1,,,6,3,None,Arrow,Type of
83,Line,,1,,,7,3,None,Arrow,Type of
84,Line,,1,,,5,3,None,Arrow,Type of
85,Line,,1,,,4,3,None,Arrow,Type of
86,Terminator,Flowchart Shapes,1,,,,,,,the 'Neutral stimuli' to 'Conditioned reinforcer' Transitions to relationship
87,Line,,1,,,86,12,None,Arrow,relates to
88,Terminator,Flowchart Shapes,1,,,,,,,the 'Conditioned reinforcer' to 'Generalised reinforcer' Transitions to relationship
89,Line,,1,,,88,13,None,Arrow,relates to
