Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Models protection
3,Process,Flowchart Shapes,1,,,,,,,Controls protection
4,Process,Flowchart Shapes,1,,,,,,,Supports protection
5,Process,Flowchart Shapes,1,,,,,,,Behaviour protection
6,Process,Flowchart Shapes,1,,,,,,,Models risk
7,Process,Flowchart Shapes,1,,,,,,,Vulnerability risk
8,Process,Flowchart Shapes,1,,,,,,,Opportunity risk
9,Process,Flowchart Shapes,1,,,,,,,Behaviour risk
10,Process,Flowchart Shapes,1,,,,,,,Protective factors 
11,Process,Flowchart Shapes,1,,,,,,,Risk factors 
14,Process,Flowchart Shapes,1,,,,,,,Problem behaviour
15,Process,Flowchart Shapes,1,,,,,,,Health-enhancing behaviour
16,Process,Flowchart Shapes,1,,,,,,,Pro-social behaviour
17,Process,Flowchart Shapes,1,,,,,,,Behaviour
29,Line,,1,,,10,15,None,Arrow,
30,Line,,1,,,11,51,None,Arrow,relates through
31,Line,,1,,,10,16,None,Arrow,
32,Line,,1,,,10,51,None,Arrow,
37,Line,,1,,,10,14,None,Arrow,-
38,Line,,1,,,11,16,None,Arrow,
39,Line,,1,,,11,15,None,Arrow,
40,Line,,1,,,2,10,None,Arrow,Type of
41,Line,,1,,,3,10,None,Arrow,Type of
42,Line,,1,,,4,10,None,Arrow,Type of
43,Line,,1,,,5,10,None,Arrow,Type of
44,Line,,1,,,6,11,None,Arrow,Type of
45,Line,,1,,,7,11,None,Arrow,Type of
46,Line,,1,,,8,11,None,Arrow,Type of
47,Line,,1,,,9,11,None,Arrow,Type of
48,Line,,1,,,16,17,None,Arrow,Type of
49,Line,,1,,,15,17,None,Arrow,Type of
50,Line,,1,,,14,17,None,Arrow,Type of
51,Terminator,Flowchart Shapes,1,,,,,,,the 'Risk factors ' to 'Problem behaviour' Influences relationship
52,Line,,1,,,51,14,None,Arrow,relates to
