Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Attitudes
3,Process,Flowchart Shapes,1,,,,,,,Behavioural intention
4,Process,Flowchart Shapes,1,,,,,,,Behavioural willingness
5,Process,Flowchart Shapes,1,,,,,,,Risk behaviour
6,Process,Flowchart Shapes,1,,,,,,,Past behaviour
7,Process,Flowchart Shapes,1,,,,,,,Subjective norms
8,Process,Flowchart Shapes,1,,,,,,,Risk prototypes
9,Process,Flowchart Shapes,1,,,,,,,Perceptions of vulnerability
10,Process,Flowchart Shapes,1,,,,,,,Social reaction path
11,Process,Flowchart Shapes,1,,,,,,,Reasoned path
14,Line,,1,,,2,8,Arrow,Arrow,
15,Line,,1,,,7,8,Arrow,Arrow,
16,Line,,1,,,2,7,Arrow,Arrow,
17,Line,,1,,,2,3,None,Arrow,
18,Line,,1,,,7,3,None,Arrow,
19,Line,,1,,,2,4,None,Arrow,
20,Line,,1,,,7,4,None,Arrow,
21,Line,,1,,,8,4,None,Arrow,
22,Line,,1,,,4,3,None,Arrow,
23,Line,,1,,,3,5,None,Arrow,
24,Line,,1,,,4,5,None,Arrow,
25,Line,,1,,,6,8,None,Arrow,
26,Line,,1,,,6,7,None,Arrow,
27,Line,,1,,,6,2,None,Arrow,
36,Line,,1,,,9,4,None,Arrow,
37,Line,,1,,,6,9,None,Arrow,
38,Line,,1,,,2,11,None,Arrow,Part of
39,Line,,1,,,3,11,None,Arrow,Part of
40,Line,,1,,,7,11,None,Arrow,Part of
41,Line,,1,,,9,10,None,Arrow,Part of
42,Line,,1,,,4,10,None,Arrow,Part of
43,Line,,1,,,8,10,None,Arrow,Part of
