Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Goal pursuit 
3,Process,Flowchart Shapes,1,,,,,,,Decision-making / behaviour 
4,Process,Flowchart Shapes,1,,,,,,,Value from worth 
5,Process,Flowchart Shapes,1,,,,,,,Retrospective evaluations 
6,Process,Flowchart Shapes,1,,,,,,,Value from fit 
7,Process,Flowchart Shapes,1,,,,,,,Strength of engagement / motivation 
8,Process,Flowchart Shapes,1,,,,,,,Regulatory fit 
9,Process,Flowchart Shapes,1,,,,,,,Prevention focus 
10,Process,Flowchart Shapes,1,,,,,,,Promotion focus 
11,Process,Flowchart Shapes,1,,,,,,,Motivational orientation 
12,Process,Flowchart Shapes,1,,,,,,,Vigilance means 
13,Process,Flowchart Shapes,1,,,,,,,Eagerness means 
14,Process,Flowchart Shapes,1,,,,,,,Goal means 
18,Process,Flowchart Shapes,1,,,,,,,Prospective evaluations 
29,Line,,1,,,8,7,None,Arrow,+
30,Line,,1,,,8,6,None,Arrow,+
31,Line,,1,,,8,5,None,Arrow,+
32,Line,,1,,,8,18,None,Arrow,+
33,Line,,1,,,7,6,None,Arrow,+
34,Line,,1,,,6,5,None,Arrow,+
35,Line,,1,,,6,4,None,Arrow,
36,Line,,1,,,6,18,None,Arrow,+
37,Line,,1,,,4,5,None,Arrow,+
38,Line,,1,,,2,3,None,Arrow,
48,Line,,1,,,4,18,None,Arrow,+
49,Line,,1,,,13,14,None,Arrow,Type of
50,Line,,1,,,12,14,None,Arrow,Type of
51,Line,,1,,,10,11,None,Arrow,Type of
52,Line,,1,,,9,11,None,Arrow,Type of
53,Line,,1,,,14,8,None,Arrow,*
54,Line,,1,,,11,8,None,Arrow,*
55,Line,,1,,,11,2,None,Arrow,Part of
56,Line,,1,,,14,2,None,Arrow,Part of
57,Line,,1,,,5,2,None,Arrow,Part of
58,Line,,1,,,18,2,None,Arrow,Part of
59,Line,,1,,,4,2,None,Arrow,Part of
60,Line,,1,,,6,2,None,Arrow,Part of
61,Line,,1,,,7,2,None,Arrow,Part of
62,Line,,1,,,8,2,None,Arrow,Part of
