Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Driving forces
3,Process,Flowchart Shapes,1,,,,,,,Restraining forces
4,Process,Flowchart Shapes,1,,,,,,,Unfreezing
5,Process,Flowchart Shapes,1,,,,,,,Moving 
6,Process,Flowchart Shapes,1,,,,,,,Freezing
7,Process,Flowchart Shapes,1,,,,,,,Quasi-stationary equilibrium
8,Process,Flowchart Shapes,1,,,,,,,Group decision
10,Line,,1,,,7,29,None,Arrow,relates through
11,Line,,1,,,4,31,None,Arrow,relates through
12,Line,,1,,,5,33,None,Arrow,relates through
16,Line,,1,,,6,7,None,Arrow,Transition
20,Line,,1,,,2,29,None,Arrow,*
21,Line,,1,,,2,31,None,Arrow,*
22,Line,,1,,,2,33,None,Arrow,*
23,Line,,1,,,3,29,None,Arrow,*
24,Line,,1,,,3,31,None,Arrow,*
25,Line,,1,,,3,33,None,Arrow,*
26,Line,,1,,,8,29,None,Arrow,*
27,Line,,1,,,8,31,None,Arrow,*
28,Line,,1,,,8,33,None,Arrow,*
29,Terminator,Flowchart Shapes,1,,,,,,,the 'Quasi-stationary equilibrium' to 'Unfreezing' Transitions to relationship
30,Line,,1,,,29,4,None,Arrow,relates to
31,Terminator,Flowchart Shapes,1,,,,,,,the 'Unfreezing' to 'Moving ' Transitions to relationship
32,Line,,1,,,31,5,None,Arrow,relates to
33,Terminator,Flowchart Shapes,1,,,,,,,the 'Moving ' to 'Freezing' Transitions to relationship
34,Line,,1,,,33,6,None,Arrow,relates to
