Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Social groups
4,Process,Flowchart Shapes,1,,,,,,,In-groups
5,Process,Flowchart Shapes,1,,,,,,,Out-groups
6,Process,Flowchart Shapes,1,,,,,,,Self-reference
8,Process,Flowchart Shapes,1,,,,,,,Value connotations
9,Process,Flowchart Shapes,1,,,,,,,Social comparisons
10,Process,Flowchart Shapes,1,,,,,,,Social categorisation 
11,Process,Flowchart Shapes,1,,,,,,,Self-esteem / self-concept
12,Process,Flowchart Shapes,1,,,,,,,Inter-group differentiation
13,Process,Flowchart Shapes,1,,,,,,,Group membership / social mobility
14,Process,Flowchart Shapes,1,,,,,,,Internalised group membership
15,Process,Flowchart Shapes,1,,,,,,,Social situation
16,Process,Flowchart Shapes,1,,,,,,,Out-group comparability
17,Process,Flowchart Shapes,1,,,,,,,
18,Process,Flowchart Shapes,1,,,,,,,Social competition
19,Process,Flowchart Shapes,1,,,,,,,Social identity
21,Line,,1,,,10,2,None,Arrow,
25,Line,,1,,,10,6,None,Arrow,
29,Line,,1,,,8,9,None,Arrow,
30,Line,,1,,,9,6,None,Arrow,+
31,Line,,1,,,19,13,None,Arrow,-
32,Line,,1,,,19,52,None,Arrow,relates through
33,Line,,1,,,11,52,None,Arrow,
34,Line,,1,,,12,8,None,Arrow,
35,Line,,1,,,14,12,None,Arrow,
36,Line,,1,,,15,12,None,Arrow,
37,Line,,1,,,16,12,None,Arrow,
38,Line,,1,,,18,12,None,Arrow,
39,Line,,1,,,8,11,None,Arrow,
40,Line,,1,,,19,18,None,Arrow,-
41,Line,,1,,,19,8,None,Arrow,
42,Line,,1,,,19,5,None,Arrow,
46,Line,,1,,,4,2,None,Arrow,Type of
47,Line,,1,,,5,2,None,Arrow,Type of
48,Line,,1,,,2,19,None,Arrow,*
49,Line,,1,,,6,19,None,Arrow,*
50,Line,,1,,,8,5,None,Arrow,Part of
51,Line,,1,,,8,4,None,Arrow,Part of
52,Terminator,Flowchart Shapes,1,,,,,,,the 'Social identity' to 'Inter-group differentiation' Influences relationship
53,Line,,1,,,52,12,None,Arrow,relates to
