Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,Process,Flowchart Shapes,1,,,,,,,Social factors 
3,Process,Flowchart Shapes,1,,,,,,,Goals 
4,Process,Flowchart Shapes,1,,,,,,,Acts / behaviour 
5,Process,Flowchart Shapes,1,,,,,,,Facilitating conditions 
6,Process,Flowchart Shapes,1,,,,,,,Habit 
7,Process,Flowchart Shapes,1,,,,,,,Specific behavioural intentions 
8,Process,Flowchart Shapes,1,,,,,,,Value of the perceived consequences 
9,Process,Flowchart Shapes,1,,,,,,,Value of consequences 
10,Process,Flowchart Shapes,1,,,,,,,Perceived probability of consequences 
11,Process,Flowchart Shapes,1,,,,,,,Affect (associated with the behaviour)
12,Process,Flowchart Shapes,1,,,,,,,Cues (associated with behaviour) 
13,Process,Flowchart Shapes,1,,,,,,,Self-image / Self-concept 
14,Process,Flowchart Shapes,1,,,,,,,Self-monitoring 
15,Process,Flowchart Shapes,1,,,,,,,Contractual arrangements 
16,Process,Flowchart Shapes,1,,,,,,,General behavioural intentions 
17,Process,Flowchart Shapes,1,,,,,,,Roles 
18,Process,Flowchart Shapes,1,,,,,,,Norms / rules of behaviour 
22,Line,,1,,,12,11,None,Arrow,
26,Line,,1,,,11,7,None,Arrow,
27,Line,,1,,,8,7,None,Arrow,
28,Line,,1,,,2,7,None,Arrow,
29,Line,,1,,,7,50,None,Arrow,relates through
30,Line,,1,,,4,3,None,Arrow,
31,Line,,1,,,6,48,None,Arrow,relates through
32,Line,,1,,,5,48,None,Arrow,
39,Line,,1,,,5,50,None,Arrow,
40,Line,,1,,,14,2,None,Arrow,Part of
41,Line,,1,,,18,2,None,Arrow,Part of
42,Line,,1,,,13,2,None,Arrow,Part of
43,Line,,1,,,17,2,None,Arrow,Part of
44,Line,,1,,,15,2,None,Arrow,Part of
45,Line,,1,,,16,2,None,Arrow,Part of
46,Line,,1,,,10,8,None,Arrow,*
47,Line,,1,,,9,8,None,Arrow,*
48,Terminator,Flowchart Shapes,1,,,,,,,the 'Habit ' to 'Acts / behaviour ' Influences relationship
49,Line,,1,,,48,4,None,Arrow,relates to
50,Terminator,Flowchart Shapes,1,,,,,,,the 'Specific behavioural intentions ' to 'Acts / behaviour ' Influences relationship
51,Line,,1,,,50,4,None,Arrow,relates to
