Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,New Page
2,Process,Flowchart Shapes,1,,,,,,,Social bonding
3,Process,Flowchart Shapes,1,,,,,,,Health-related knowledge
4,Process,Flowchart Shapes,1,,,,,,,Biology / personality
5,Process,Flowchart Shapes,1,,,,,,,Sense of self
6,Process,Flowchart Shapes,1,,,,,,,Self-determination
7,Process,Flowchart Shapes,1,,,,,,,Self-efficacy
8,Process,Flowchart Shapes,1,,,,,,,Tiers of influence
9,Process,Flowchart Shapes,1,,,,,,,Ultimate causes tier
10,Process,Flowchart Shapes,1,,,,,,,Social personal nexus tier
11,Process,Flowchart Shapes,1,,,,,,,Expectancy-value tier
12,Process,Flowchart Shapes,1,,,,,,,Affective / cognitive tier
13,Process,Flowchart Shapes,1,,,,,,,Decisions tier
14,Process,Flowchart Shapes,1,,,,,,,Experience
16,Process,Flowchart Shapes,1,,,,,,,Streams of influence
19,Process,Flowchart Shapes,1,,,,,,,Decisions / intentions
20,Process,Flowchart Shapes,1,,,,,,,Intrapersonal influences
22,Process,Flowchart Shapes,1,,,,,,,Social influences
24,Process,Flowchart Shapes,1,,,,,,,Attitudinal influences
28,Process,Flowchart Shapes,1,,,,,,,Cultural environment
29,Process,Flowchart Shapes,1,,,,,,,Immediate social context
31,Process,Flowchart Shapes,1,,,,,,,Social competence
32,Process,Flowchart Shapes,1,,,,,,,Social learning
33,Process,Flowchart Shapes,1,,,,,,,Health-related values
35,Process,Flowchart Shapes,1,,,,,,,Skills
36,Process,Flowchart Shapes,1,,,,,,,Perceived norms
37,Process,Flowchart Shapes,1,,,,,,,Motivation to comply
38,Process,Flowchart Shapes,1,,,,,,,Expectations about consequences
39,Process,Flowchart Shapes,1,,,,,,,Evaluations of consequences
41,Process,Flowchart Shapes,1,,,,,,,Social normative beliefs
43,Process,Flowchart Shapes,1,,,,,,,Health-related behaviour
44,Process,Flowchart Shapes,1,,,,,,,Attitudes
46,Line,,1,,,7,19,None,Arrow,
49,Line,,1,,,43,14,None,Arrow,
60,Line,,1,,,29,32,None,Arrow,
61,Line,,1,,,29,2,None,Arrow,
63,Line,,1,,,19,43,None,Arrow,
67,Line,,1,,,28,33,None,Arrow,
68,Line,,1,,,28,3,None,Arrow,
