Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,10. Containment Theory May 2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Inner drives or pushes,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,External environment,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Deviant behaviour,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-control,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-concept,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Ego strength,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Superego,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Frustration tolerance,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Resistance to diversions,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal orientation,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability to find substitute satisfactions,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Tension-reducing rationalisations,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,"Opportunity for acceptance, identity, and belonging",
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Safety valves,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Limits and responsibilities,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Supervision and discipline,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Social expectations,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Presentation of consistent moral front,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,"Institutional reinforcement of norms, goals, expectations",
22,Block,Standard,2,,,,,,,,Inner containment,
23,Block,Standard,2,,,,,,,,Outer containment,
24,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
27,Line,,2,,,4,23,None,Arrow,,,
28,Line,,2,,,3,22,None,Arrow,,,
29,Line,,2,,,24,5,None,Arrow,,,
30,Line,,2,,,23,24,None,Arrow,,,
31,Line,,2,,,22,24,None,Arrow,,,
32,Line,,2,,,25,22,None,Arrow,,,
33,Line,,2,,,15,26,None,Arrow,,,
34,Line,,2,,,16,26,None,Arrow,,,
35,Line,,2,,,17,26,None,Arrow,,,
36,Line,,2,,,18,26,None,Arrow,,,
37,Line,,2,,,19,26,None,Arrow,,,
38,Line,,2,,,20,26,None,Arrow,,,
39,Line,,2,,,21,26,None,Arrow,,,
40,Line,,2,,,6,25,None,Arrow,,,
41,Line,,2,,,7,25,None,Arrow,,,
42,Line,,2,,,8,25,None,Arrow,,,
43,Line,,2,,,9,25,None,Arrow,,,
44,Line,,2,,,10,25,None,Arrow,,,
45,Line,,2,,,11,25,None,Arrow,,,
46,Line,,2,,,12,25,None,Arrow,,,
47,Line,,2,,,13,25,None,Arrow,,,
48,Line,,2,,,14,25,None,Arrow,,,
49,Line,,2,,,26,23,None,Arrow,,,
