Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,12. Differential Association Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Differential association,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Learning,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Favourable / unfavourable definitions of legal codes,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Frequency,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Duration,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Intensity,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Priority,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Social organisation,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Intimate personal groups,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Techniques of committing crime,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,"Direction of motives, drives, rationalisations, and attitudes",
15,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Person-situation complex ,
17,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Life experience of the person,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Situation,
20,Circle,Geometric Shapes,2,,,,,,,,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunity for a criminal act,
22,Circle,Geometric Shapes,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Criminal behaviour,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Non-verbal communication,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Verbal communication,
26,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
27,Line,,2,,,11,4,None,Arrow,,,
28,Line,,2,,,3,4,None,Arrow,,,
29,Line,,2,,,12,4,None,Arrow,,,
30,Line,,2,,,4,5,None,Arrow,,,
31,Line,,2,,,7,3,None,Arrow,,,
32,Line,,2,,,10,3,None,Arrow,,,
33,Line,,2,,,8,3,None,Arrow,,,
34,Line,,2,,,9,3,None,Arrow,,,
35,Line,,2,,,6,3,None,Arrow,,,
36,Line,,2,,,14,15,None,Arrow,,,
37,Line,,2,,,15,4,None,Arrow,,,
38,Line,,2,,,13,15,None,Arrow,,,
39,Line,,2,,,20,19,None,Arrow,,,
40,Line,,2,,,21,20,None,Arrow,,,
41,Line,,2,,,19,17,None,Arrow,,,
42,Line,,2,,,18,17,None,Arrow,,,
43,Line,,2,,,4,22,None,Arrow,,,
44,Line,,2,,,22,18,None,Arrow,,,
45,Line,,2,,,17,16,None,Arrow,,,
46,Line,,2,,,5,23,None,Arrow,,,
47,Line,,2,,,3,22,None,Arrow,,,
48,Line,,2,,,16,23,None,Arrow,,,
49,Line,,2,,,24,26,None,Arrow,,,
50,Line,,2,,,25,26,None,Arrow,,,
51,Line,,2,,,26,12,None,Arrow,,,
