Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,14. Ecological Model for Preventing Type 2 Diabetes - FINAL,
2,Page,,,,,,,,,,New Page,
3,Text,Standard,2,,,,,,,,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectations,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived severity,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived benefits / costs ,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Internal incentive ,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs and knowledge ,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Community factors / neighbourhood surroundings,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Institutions / corporate interests / media,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Public policy,
13,Block,Standard,2,,,,,,,,Environmental factors ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
15,Block,Standard,2,,,,,,,,Normative beliefs,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal factors,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences: peers / family / community,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
19,Block,Standard,2,,,,,,,,Cognitive factors  (intrapersonal) / cognitive arm of the model,
20,Block,Standard,2,,,,,,,,Community and environmental factors  / Environmental arm of the model,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural intention,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,External incentives,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
27,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
28,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
29,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
30,Line,,2,,,9,14,None,Arrow,,,
31,Line,,2,,,25,13,None,Arrow,,,
32,Line,,2,,,10,25,None,Arrow,,,
33,Line,,2,,,11,25,None,Arrow,,,
34,Line,,2,,,12,25,None,Arrow,,,
35,Line,,2,,,13,15,None,Arrow,,,
36,Line,,2,,,26,15,None,Arrow,,,
37,Line,,2,,,9,28,None,Arrow,,,
38,Line,,2,,,14,28,None,Arrow,,,
39,Line,,2,,,13,29,None,Arrow,,,
40,Line,,2,,,21,22,None,Arrow,,,
41,Line,,2,,,24,22,None,Arrow,,,
42,Line,,2,,,29,20,None,Arrow,,,
43,Line,,2,,,15,29,None,Arrow,,,
44,Line,,2,,,27,9,None,Arrow,,,
45,Line,,2,,,5,27,None,Arrow,,,
46,Line,,2,,,7,27,None,Arrow,,,
47,Line,,2,,,4,27,None,Arrow,,,
48,Line,,2,,,6,27,None,Arrow,,,
49,Line,,2,,,8,27,None,Arrow,,,
50,Line,,2,,,18,26,None,Arrow,,,
51,Line,,2,,,17,26,None,Arrow,,,
52,Line,,2,,,16,26,None,Arrow,,,
53,Line,,2,,,15,21,None,Arrow,,,
54,Line,,2,,,14,21,None,Arrow,,,
55,Line,,2,,,23,40,None,Arrow,,,
56,Line,,2,,,28,19,None,Arrow,,,
