Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,19. General Theory of Crime - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Impulsivity,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Sensitivity,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Physicality,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Risk-taking preference,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Time orientation (near / far-sighted),
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-control,
9,Circle,Geometric Shapes,2,,,,,,,,,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Parental child-rearing practices,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Monitoring of child,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Recognition of deviant behaviour,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Punishment of deviant behaviour,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Parent-child attachment,
15,Circle,Geometric Shapes,2,,,,,,,,,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Socialising institutions,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,School,
18,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,"Criminal, deviant, and risky behaviours",
20,Line,,2,,,3,9,None,Arrow,,,
21,Line,,2,,,4,9,None,Arrow,,,
22,Line,,2,,,5,9,None,Arrow,,,
23,Line,,2,,,6,9,None,Arrow,,,
24,Line,,2,,,7,9,None,Arrow,,,
25,Line,,2,,,9,8,None,Arrow,,,
26,Line,,2,,,11,15,None,Arrow,,,
27,Line,,2,,,12,15,None,Arrow,,,
28,Line,,2,,,13,15,None,Arrow,,,
29,Line,,2,,,14,15,None,Arrow,,,
30,Line,,2,,,15,10,None,Arrow,,,
31,Line,,2,,,17,18,None,Arrow,,,
32,Line,,2,,,18,16,None,Arrow,,,
33,Line,,2,,,16,8,None,Arrow,,,
34,Line,,2,,,10,8,None,Arrow,,,
35,Line,,2,,,8,19,None,Arrow,,​-,
