Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,2. Affective Events Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Work environment features,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Work events,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective reactions,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Work attitudes,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Judgement-driven behaviours,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Affect-driven behaviours,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Dispositions,
10,Line,,2,,,3,4,None,Arrow,,,
11,Line,,2,,,4,5,None,Arrow,,,
12,Line,,2,,,5,6,None,Arrow,,,
13,Line,,2,,,6,7,None,Arrow,,,
14,Line,,2,,,5,8,None,Arrow,,,
15,Line,,2,,,9,11,None,Arrow,,,
16,Line,,2,,,9,5,None,Arrow,,,
17,Line,,2,,,3,6,None,Arrow,,,
18,Page,,,,,,,,,,New Page,
19,Process,Flowchart Shapes/Containers,18,,,,,,,,Work environment features,
20,Process,Flowchart Shapes/Containers,18,,,,,,,,Work events,
21,Process,Flowchart Shapes/Containers,18,,,,,,,,Affective reactions,
22,Process,Flowchart Shapes/Containers,18,,,,,,,,Work attitudes,
23,Process,Flowchart Shapes/Containers,18,,,,,,,,Judgement-driven behaviours,
24,Process,Flowchart Shapes/Containers,18,,,,,,,,Affect-driven behaviours,
25,Process,Flowchart Shapes/Containers,18,,,,,,,,Dispositions,
26,Line,,18,,,19,20,None,Arrow,,,
27,Line,,18,,,20,21,None,Arrow,,,
28,Line,,18,,,22,23,None,Arrow,,,
29,Line,,18,,,19,22,None,Arrow,,,
30,Line,,18,,,21,24,None,Arrow,,,
31,Line,,18,,,25,21,None,Arrow,,,
32,Line,,18,,,21,22,None,Arrow,,,
