Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,24. Health Action Process Approach - FINAL - for analysis,,
2,Page,,,,,,,,,,Page 1,,
3,Block,Standard,2,,,,,,,,Self-efficacy ,,
4,Block,Standard,2,,,,,,,,Action ,,
5,Block,Standard,2,,,,,,,,Recovery self-efficacy ,,
6,Block,Standard,2,,,,,,,,Risk perception ,,
7,Block,Standard,2,,,,,,,,Outcome expectancies ,,
8,Block,Standard,2,,,,,,,,Maintenance self-efficacy ,,
9,Block,Standard,2,,,,,,,,Perceived severity ,,
10,Block,Standard,2,,,,,,,,Perceived vulnerability ,,
11,Block,Standard,2,,,,,,,,Action self-efficacy ,,
12,Block,Standard,2,,,,,,,,Social ,,
13,Block,Standard,2,,,,,,,,Emotional ,,
14,Block,Standard,2,,,,,,,,Physical ,,
15,Merge,Flowchart Shapes/Containers,2,,,,,,,,,,
16,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,,
17,Block,Standard,2,,,,,,,,Intention ,,
18,Block,Standard,2,,,,,,,,Planning ,,
19,Block,Standard,2,,,,,,,,Action planning ,,
20,Block,Standard,2,,,,,,,,Perceived social support ,,
21,Block,Standard,2,,,,,,,,Self-regulatory effort ,,
22,Block,Standard,2,,,,,,,,Self-monitoring ,,
23,Block,Standard,2,,,,,,,,Awareness of standards ,,
24,Block,Standard,2,,,,,,,,Action control ,,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,,
26,Block,Standard,2,,,,,,,,Coping planning ,,
27,Block,Standard,2,,,,,,,,Motivational phase ,,
28,Block,Standard,2,,,,,,,,Volitional phase ,,
29,Connector,Flowchart Shapes/Containers,2,,,,,,,,,,
30,Merge,Flowchart Shapes/Containers,2,,,,,,,,,,
31,Connector,Flowchart Shapes/Containers,2,,,,,,,,,,
32,Block,Standard,2,,,,,,,,Non-intenders ,,
33,Block,Standard,2,,,,,,,,Intenders ,,
34,Block,Standard,2,,,,,,,,Actors ,,
35,Merge,Flowchart Shapes/Containers,2,,,,,,,,,,
36,Line,,2,,,11,35,None,Arrow,,,,
37,Line,,2,,,8,35,None,Arrow,,,,
38,Line,,2,,,5,35,None,Arrow,,,,
39,Line,,2,,,35,3,None,Arrow,,,,
40,Line,,2,,,30,18,None,Arrow,,,,
41,Line,,2,,,6,17,None,Arrow,,​+,,
42,Line,,2,,,7,17,None,Arrow,,​+,,
43,Line,,2,,,11,17,None,Arrow,,​+,,
44,Line,,2,,,19,30,None,Arrow,,,,
45,Line,,2,,,10,16,None,Arrow,,,,
46,Line,,2,,,9,16,None,Arrow,,,,
47,Line,,2,,,16,6,None,Arrow,,,,
48,Line,,2,,,26,30,None,Arrow,,,,
49,Line,,2,,,17,18,None,Arrow,,,,
50,Line,,2,,,11,19,None,Arrow,,​+,,
51,Line,,2,,,5,4,None,Arrow,,​+,,
52,Line,,2,,,20,54,None,Arrow,,Transition,,
53,Line,,2,,,20,17,None,Arrow,,,,
54,Line,,2,,,17,4,None,Arrow,,,,
55,Line,,2,,,5,24,None,Arrow,,​+,,
56,Line,,2,,,17,24,None,Arrow,,​+,,
57,Line,,2,,,18,4,None,Arrow,,,,
58,Line,,2,,,23,25,None,Arrow,,,,
59,Line,,2,,,22,25,None,Arrow,,,,
60,Line,,2,,,21,25,None,Arrow,,,,
61,Line,,2,,,25,24,None,Arrow,,,,
62,Line,,2,,,24,4,Arrow,Arrow,,​+,​+,
63,Line,,2,,,8,4,None,Arrow,,​+,,
64,Line,,2,,,33,34,None,Arrow,,Transition,,
65,Line,,2,,,29,27,None,Arrow,,,,
66,Line,,2,,,32,29,None,Arrow,,,,
67,Line,,2,,,31,28,None,Arrow,,,,
68,Line,,2,,,33,31,None,Arrow,,,,
69,Line,,2,,,34,31,None,Arrow,,,,
70,Line,,2,,,32,33,None,Arrow,,Transition,,
71,Line,,2,,,15,7,None,Arrow,,,,
72,Line,,2,,,14,15,None,Arrow,,,,
73,Line,,2,,,13,15,None,Arrow,,,,
74,Line,,2,,,12,15,None,Arrow,,,,
75,Line,,2,,,8,18,None,Arrow,,,,
76,Line,,2,,,11,70,None,Arrow,,​+,,
77,Line,,2,,,11,29,None,Arrow,,,,
78,Line,,2,,,6,70,None,Arrow,,​+,,
79,Line,,2,,,6,29,None,Arrow,,,,
80,Line,,2,,,7,29,None,Arrow,,,,
81,Line,,2,,,7,70,None,Arrow,,​+,,
82,Line,,2,,,8,64,None,Arrow,,​+,,
83,Line,,2,,,5,64,None,Arrow,,​+,,
84,Line,,2,,,18,64,None,Arrow,,​+,,
85,Line,,2,,,24,64,None,Arrow,,​+,,
86,Line,,2,,,24,31,None,Arrow,,,,
87,Line,,2,,,18,31,None,Arrow,,,,
88,Line,,2,,,5,31,None,Arrow,,,,
89,Line,,2,,,8,31,None,Arrow,,,,
