Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,25. Health Behaviour Goal Model May 2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Expected consequences of target behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Health costs and benefits,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotional costs and benefits,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived competence,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influence,
8,Block,Standard,2,,,,,,,,Personal goal structure ,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Higher order goals,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Lower order goals,
11,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
12,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Target behaviour,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Threat appraisal,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental characterstics,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal characteristics,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Precontemplation,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Contemplation,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Maintenance,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Initial behaviour change,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Regulatory processes,
22,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Feedback mechansisms,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Feedforward mechansisms,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Action control processes,
26,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
27,Line,,2,,,26,3,None,Arrow,,,
28,Line,,2,,,4,5,Arrow,Arrow,,Correlation,
29,Line,,2,,,5,7,Arrow,Arrow,,Correlation,
30,Line,,2,,,7,6,Arrow,Arrow,,Correlation,
31,Line,,2,,,6,4,Arrow,Arrow,,Correlation,
32,Line,,2,,,6,5,Arrow,Arrow,,Correlation,
33,Line,,2,,,4,7,Arrow,Arrow,,Correlation,
34,Line,,2,,,4,26,None,Arrow,,,
35,Line,,2,,,5,26,None,Arrow,,,
36,Line,,2,,,7,26,None,Arrow,,,
37,Line,,2,,,6,26,None,Arrow,,,
38,Line,,2,,,3,8,None,Arrow,,,
39,Line,,2,,,8,3,None,Arrow,,Correlation,
40,Line,,2,,,9,11,None,Arrow,,,
41,Line,,2,,,10,11,None,Arrow,,,
42,Line,,2,,,11,8,None,Arrow,,,
43,Line,,2,,,13,12,None,Arrow,,,
44,Line,,2,,,8,12,None,Arrow,,,
45,Line,,2,,,14,10,None,Arrow,,,
46,Line,,2,,,15,14,None,Arrow,,,
47,Line,,2,,,16,14,None,Arrow,,,
48,Line,,2,,,15,3,None,Arrow,,,
49,Line,,2,,,16,3,None,Arrow,,,
50,Line,,2,,,17,18,None,Arrow,,Transitions to,
51,Line,,2,,,18,17,None,Arrow,,Transitions to,
52,Line,,2,,,18,20,None,Arrow,,Transitions to,
53,Line,,2,,,20,18,None,Arrow,,Transitions to,
54,Line,,2,,,20,19,None,Arrow,,Transitions to,
55,Line,,2,,,19,20,None,Arrow,,Transitions to,
56,Line,,2,,,12,53,None,Arrow,,,
57,Line,,2,,,12,54,None,Arrow,,,
58,Line,,2,,,12,50,None,Arrow,,,
59,Line,,2,,,15,52,None,Arrow,,,
60,Line,,2,,,3,52,None,Arrow,,,
61,Line,,2,,,3,51,None,Arrow,,,
62,Line,,2,,,15,54,None,Arrow,,,
63,Line,,2,,,21,53,None,Arrow,,,
64,Line,,2,,,25,22,None,Arrow,,,
65,Line,,2,,,23,22,None,Arrow,,,
66,Line,,2,,,24,22,None,Arrow,,,
67,Line,,2,,,22,21,None,Arrow,,,
68,Line,,2,,,21,50,None,Arrow,,,
69,Line,,2,,,21,54,None,Arrow,,,
70,Line,,2,,,12,51,None,Arrow,,,
71,Line,,2,,,21,51,None,Arrow,,,
72,Line,,2,,,12,52,None,Arrow,,,
73,Line,,2,,,3,53,None,Arrow,,,
74,Line,,2,,,15,53,None,Arrow,,,
75,Line,,2,,,21,52,None,Arrow,,,
76,Line,,2,,,15,55,None,Arrow,,,
77,Line,,2,,,12,55,None,Arrow,,,
78,Line,,2,,,21,55,None,Arrow,,,
79,Line,,2,,,3,51,None,Arrow,,,
