Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,39. Model of Pro-Environmental Behavior - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Gender,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Years of education,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Institutional factors,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Economic factors,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Social and cultural factors,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Values,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes ,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Costs,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental knowledge and awareness,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotional involvement,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Direct environmental behaviour,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Indirect environmental behaviour,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Willingness to change,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Decisions,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Locus of control,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Barriers,
21,Block,Standard,2,,,,,,,,Demographic factors,
22,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
23,Block,Standard,2,,,,,,,,External factors,
24,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
25,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
26,Block,Standard,2,,,,,,,,Pro-environmental consciousness,
27,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
28,Block,Standard,2,,,,,,,,Internal factors,
29,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
30,Line,,2,,,8,9,None,Arrow,,,
31,Line,,2,,,8,14,None,Arrow,,,
32,Line,,2,,,12,15,None,Arrow,,,
33,Line,,2,,,28,14,None,Arrow,,,
34,Line,,2,,,14,28,None,Arrow,,,
35,Line,,2,,,23,28,None,Arrow,,,
36,Line,,2,,,3,22,None,Arrow,,,
37,Line,,2,,,4,22,None,Arrow,,,
38,Line,,2,,,22,21,None,Arrow,,,
39,Line,,2,,,5,24,None,Arrow,,,
40,Line,,2,,,6,24,None,Arrow,,,
41,Line,,2,,,7,24,None,Arrow,,,
42,Line,,2,,,10,25,None,Arrow,,,
43,Line,,2,,,11,25,None,Arrow,,,
44,Line,,2,,,10,27,None,Arrow,,,
45,Line,,2,,,13,27,None,Arrow,,,
46,Line,,2,,,12,27,None,Arrow,,,
47,Line,,2,,,9,27,None,Arrow,,,
48,Line,,2,,,8,27,None,Arrow,,,
49,Line,,2,,,27,26,None,Arrow,,,
50,Line,,2,,,26,29,None,Arrow,,,
51,Line,,2,,,11,29,None,Arrow,,,
52,Line,,2,,,16,29,None,Arrow,,,
53,Line,,2,,,17,29,None,Arrow,,,
54,Line,,2,,,18,29,None,Arrow,,,
55,Line,,2,,,19,29,None,Arrow,,,
56,Line,,2,,,29,28,None,Arrow,,,
57,Line,,2,,,20,21,None,Arrow,,,
58,Line,,2,,,20,28,None,Arrow,,,
59,Line,,2,,,20,15,None,Arrow,,,
60,Line,,2,,,20,23,None,Arrow,,,
61,Line,,2,,,20,14,None,Arrow,,,
62,Line,,2,,,28,23,None,Arrow,,,
63,Line,,2,,,24,23,None,Arrow,,,
64,Line,,2,,,6,18,None,Arrow,,,
65,Line,,2,,,23,14,None,Arrow,,,
66,Line,,2,,,19,14,None,Arrow,,,
67,Line,,2,,,25,14,None,Arrow,,,
68,Line,,2,,,10,15,None,Arrow,,,
69,Line,,2,,,3,17,None,Arrow,,,
70,Line,,2,,,3,16,None,Arrow,,,
71,Line,,2,,,3,10,None,Arrow,,,
72,Line,,2,,,4,12,None,Arrow,,,
73,Line,,2,,,3,13,None,Arrow,,,
74,Line,,2,,,3,12,None,Arrow,,,
