Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,4. Behavioural Ecological Model of AIDS Prevention - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Antecedents,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement history,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Peers,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Culture and gender roles,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,SES,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Family influences,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Genetics and biology,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Sexual partners,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Public schools,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Assertiveness and social skills,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Media,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,"Knowledge, attitudes, and self-efficacy",
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Risk behaviours,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Drug use and abuse,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Delinquency,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,High-risk sports,
19,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Condom use / sexual behaviour,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Consequences,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Sexual pleasure / climax,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Partner's sexual pleasure,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication with others,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Peer / social reactions,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Family reactions,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,General community reactions,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Pregnancy or disease outcomes,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Hassles,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Minor discomfort,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Decreased sensitivity,
32,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Multiple schedules,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Metacontingencies,
35,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Dynamic systems,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Density of social reinforcement,
38,Isosceles triangle,Geometric Shapes,2,,,,,,,,,
39,Line,,2,,,30,35,None,Arrow,,,
40,Line,,2,,,31,35,None,Arrow,,,
41,Line,,2,,,28,27,None,Arrow,,,
42,Line,,2,,,27,28,None,Arrow,,,
43,Line,,2,,,26,28,None,Arrow,,,
44,Line,,2,,,26,27,None,Arrow,,,
45,Line,,2,,,27,26,None,Arrow,,,
46,Line,,2,,,28,26,None,Arrow,,,
47,Line,,2,,,24,26,None,Arrow,,,
48,Line,,2,,,25,27,None,Arrow,,,
49,Line,,2,,,24,25,None,Arrow,,,
50,Line,,2,,,26,24,None,Arrow,,,
51,Line,,2,,,24,23,None,Arrow,,,
52,Line,,2,,,23,24,None,Arrow,,,
53,Line,,2,,,22,24,None,Arrow,,,
54,Line,,2,,,24,22,None,Arrow,,,
55,Line,,2,,,23,22,None,Arrow,,,
56,Line,,2,,,22,23,None,Arrow,,,
57,Line,,2,,,27,29,None,Arrow,,,
58,Line,,2,,,23,29,None,Arrow,,,
59,Line,,2,,,29,23,None,Arrow,,,
60,Line,,2,,,15,19,None,Arrow,,,
61,Line,,2,,,13,19,None,Arrow,,,
62,Line,,2,,,12,19,None,Arrow,,,
63,Line,,2,,,9,19,None,Arrow,,,
64,Line,,2,,,6,19,None,Arrow,,,
65,Line,,2,,,8,19,None,Arrow,,,
66,Line,,2,,,11,19,None,Arrow,,,
67,Line,,2,,,32,21,None,Arrow,,,
68,Line,,2,,,22,32,None,Arrow,,,
69,Line,,2,,,23,32,None,Arrow,,,
70,Line,,2,,,24,32,None,Arrow,,,
71,Line,,2,,,25,32,None,Arrow,,,
72,Line,,2,,,26,32,None,Arrow,,,
73,Line,,2,,,27,32,None,Arrow,,,
74,Line,,2,,,28,32,None,Arrow,,,
75,Line,,2,,,29,32,None,Arrow,,,
76,Line,,2,,,21,3,None,Arrow,,,
77,Line,,2,,,3,20,None,Arrow,,,
78,Line,,2,,,20,21,None,Arrow,,,
79,Line,,2,,,35,29,None,Arrow,,,
80,Line,,2,,,7,19,None,Arrow,,,
81,Line,,2,,,4,19,None,Arrow,,,
82,Line,,2,,,5,19,None,Arrow,,,
83,Line,,2,,,10,19,None,Arrow,,,
84,Line,,2,,,36,3,None,Arrow,,,
85,Line,,2,,,33,3,None,Arrow,,,
86,Line,,2,,,34,3,None,Arrow,,,
87,Line,,2,,,37,3,None,Arrow,,,
88,Line,,2,,,36,21,None,Arrow,,,
89,Line,,2,,,33,21,None,Arrow,,,
90,Line,,2,,,34,21,None,Arrow,,,
91,Line,,2,,,37,21,None,Arrow,,,
92,Line,,2,,,19,3,None,Arrow,,,
93,Line,,2,,,16,38,None,Arrow,,,
94,Line,,2,,,18,38,None,Arrow,,,
95,Line,,2,,,17,38,None,Arrow,,,
96,Line,,2,,,38,15,None,Arrow,,,
97,Line,,2,,,14,19,None,Arrow,,,
98,Line,,2,,,14,32,None,Arrow,,,
