Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,40. Motivation-Opportunities-Abilities - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunity,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Habits,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Task knowledge,
8,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
10,Line,,2,,,6,8,None,Arrow,,,
11,Line,,2,,,7,8,None,Arrow,,,
12,Line,,2,,,8,4,None,Arrow,,,
13,Line,,2,,,3,9,None,Arrow,,,
14,Line,,2,,,4,13,None,Arrow,,,
15,Line,,2,,,5,13,None,Arrow,,,
16,Line,,2,,,9,4,None,Arrow,,,
17,Line,,2,,,4,3,None,Arrow,,,
