Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,43. Operant Conditioning - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Differential reinforcement,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Intermittent reinforcement,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Fixed-interval reinforcement,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Variable-interval reinforcement,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Fixed-ratio reinforcement,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Variable-ratio reinforcement,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Combined schedule of reinforcement,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Schedule of reinforcement,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Neutral stimuli,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Conditioned reinforcer,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Generalised reinforcer,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Stimulus,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Response,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Operant behaviour,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Extinction,
19,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Primary reinforcer,
21,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
22,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Multiple primary reinforcers,
24,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
25,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Positive reinforcement,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Response cost,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Negative punishment,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Operant discrimination,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Shaping and chaining,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Stimulus and situational generalisation,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Skill performance deficits,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Response generalisation,
34,Line,,2,,,12,13,None,Arrow,,Transitions to,
35,Line,,2,,,13,14,None,Arrow,,Transitions to,
36,Line,,2,,,12,21,None,Arrow,,,
37,Line,,2,,,20,21,None,Arrow,,,
38,Line,,2,,,21,34,None,Arrow,,,
39,Line,,2,,,13,22,None,Arrow,,,
40,Line,,2,,,23,22,None,Arrow,,,
41,Line,,2,,,22,35,None,Arrow,,,
42,Line,,2,,,10,19,None,Arrow,,,
43,Line,,2,,,3,24,None,Arrow,,,
44,Line,,2,,,4,24,None,Arrow,,,
45,Line,,2,,,9,25,None,Arrow,,,
46,Line,,2,,,7,25,None,Arrow,,,
47,Line,,2,,,8,25,None,Arrow,,,
48,Line,,2,,,6,25,None,Arrow,,,
49,Line,,2,,,5,25,None,Arrow,,,
50,Line,,2,,,15,16,None,Arrow,,,
51,Line,,2,,,26,19,None,Arrow,,,
52,Line,,2,,,15,29,None,Arrow,,,
53,Line,,2,,,29,19,None,Arrow,,,
54,Line,,2,,,31,15,None,Arrow,,,
55,Line,,2,,,17,30,None,Arrow,,,
56,Line,,2,,,17,31,None,Arrow,,,
57,Line,,2,,,32,19,None,Arrow,,,
58,Line,,2,,,19,11,None,Arrow,,,
59,Line,,2,,,16,11,None,Arrow,,,
60,Line,,2,,,11,18,None,Arrow,,,
61,Line,,2,,,11,17,None,Arrow,,,
62,Line,,2,,,30,11,None,Arrow,,,
63,Line,,2,,,24,10,None,Arrow,,,
64,Line,,2,,,25,4,None,Arrow,,,
65,Line,,2,,,17,33,None,Arrow,,,
66,Line,,2,,,33,16,None,Arrow,,,
67,Line,,2,,,14,11,None,Arrow,,,
68,Line,,2,,,28,19,None,Arrow,,,
69,Line,,2,,,27,19,None,Arrow,,,
