Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,44. Precaution Adoption Process Model FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Unaware of issue,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Maintenance,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Decided not to act,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Acting,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Decided to act,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Undecided about acting,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Unengaged by issue,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Unspecified influences (vary by transition),
11,Line,,2,,,3,9,Arrow,Arrow,,Transition,
12,Line,,2,,,9,8,Arrow,Arrow,,Transition,
13,Line,,2,,,8,7,Arrow,Arrow,,Transition,
14,Line,,2,,,7,6,Arrow,Arrow,,Transition,
15,Line,,2,,,6,4,Arrow,Arrow,,Transition,
16,Line,,2,,,8,5,Arrow,Arrow,,Transition,
17,Line,,2,,,10,13,None,Arrow,,,
18,Line,,2,,,10,15,None,Arrow,,,
19,Line,,2,,,10,14,None,Arrow,,,
20,Line,,2,,,10,11,None,Arrow,,,
21,Line,,2,,,10,12,None,Arrow,,,
22,Line,,2,,,10,16,None,Arrow,,,
23,Line,,2,,,4,7,None,Arrow,,Transition,
24,Line,,2,,,4,8,None,Arrow,,Transition,
25,Line,,2,,,4,9,None,Arrow,,Transition,
26,Line,,2,,,4,3,None,Arrow,,Transition,
27,Line,,2,,,6,3,None,Arrow,,Transition,
28,Line,,2,,,6,9,None,Arrow,,Transition,
29,Line,,2,,,6,8,None,Arrow,,Transition,
30,Line,,2,,,7,9,None,Arrow,,Transition,
31,Line,,2,,,7,3,None,Arrow,,Transition,
32,Line,,2,,,8,3,None,Arrow,,Transition,
