Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,45. Pressure System Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Resistance,
5,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour change,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about importance,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about personal risk,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about the efficacy of change,
10,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Capacity,
12,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Locus of control,
14,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Fixed impediments to change,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Clinical scenarios,
17,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Precontemplative with no prior behaviour change attempts,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Contemplative or preparative with no prior behaviour change attempts,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour modification or maintenance of behaviour change,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Lapse,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Precontemplative or contemplative with prior behaviour change attempts,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-esteem,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
25,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
26,Line,,2,,,3,5,None,Arrow,,,
27,Line,,2,,,4,5,None,Arrow,,,
28,Line,,2,,,6,5,Arrow,None,,,
29,Line,,2,,,7,10,None,Arrow,,,
30,Line,,2,,,8,10,None,Arrow,,,
31,Line,,2,,,9,10,None,Arrow,,,
32,Line,,2,,,3,10,Arrow,None,,,
33,Line,,2,,,11,12,None,Arrow,,,
34,Line,,2,,,12,28,None,Arrow,,,
35,Line,,2,,,13,12,None,Arrow,,,
36,Line,,2,,,4,14,Arrow,None,,,
37,Line,,2,,,15,14,None,Arrow,,,
38,Line,,2,,,18,17,None,Arrow,,,
39,Line,,2,,,19,17,None,Arrow,,,
40,Line,,2,,,20,17,None,Arrow,,,
41,Line,,2,,,21,17,None,Arrow,,,
42,Line,,2,,,22,17,None,Arrow,,,
43,Line,,2,,,17,16,None,Arrow,,,
44,Line,,2,,,6,23,None,Arrow,,,
45,Line,,2,,,6,24,None,Arrow,,,
46,Line,,2,,,23,13,None,Arrow,,,
47,Line,,2,,,24,13,None,Arrow,,,
48,Line,,2,,,16,25,None,Arrow,,,
49,Line,,2,,,25,6,None,Arrow,,,
