Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,46. PRIME Theory - RW,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Impulses,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Motives,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluations,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Plans,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Internal environment,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,External environment,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Responses,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluations about self,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about self,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Identity,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Images of self,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Wants,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Needs,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotions about self,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Inhibitions,
18,Line,,2,,,4,3,None,Arrow,,,
19,Line,,2,,,5,4,None,Arrow,,,
20,Line,,2,,,6,5,None,Arrow,,,
21,Line,,2,,,5,6,None,Arrow,,,
22,Line,,2,,,4,5,None,Arrow,,,
23,Line,,2,,,7,6,None,Arrow,,,
24,Line,,2,,,7,5,None,Arrow,,,
25,Line,,2,,,7,4,None,Arrow,,,
26,Line,,2,,,7,3,None,Arrow,,,
27,Line,,2,,,8,7,None,Arrow,,,
28,Line,,2,,,3,9,None,Arrow,,,
29,Line,,2,,,9,8,None,Arrow,,,
30,Line,,2,,,3,7,None,Arrow,,,
31,Line,,2,,,4,7,None,Arrow,,,
32,Line,,2,,,5,7,None,Arrow,,,
33,Line,,2,,,6,7,None,Arrow,,,
34,Line,,2,,,16,7,None,Arrow,,Part of,
35,Line,,2,,,16,12,None,Arrow,,Part of,
36,Line,,2,,,11,12,None,Arrow,,Part of,
37,Line,,2,,,11,16,None,Arrow,,,
38,Line,,2,,,10,12,None,Arrow,,Part of,
39,Line,,2,,,6,12,None,Arrow,,Part of,
40,Line,,2,,,11,7,None,Arrow,,Part of,
41,Line,,2,,,10,11,None,Arrow,,Type of,
42,Line,,2,,,16,11,None,Arrow,,,
43,Line,,2,,,5,10,Arrow,None,,Type of,
44,Line,,2,,,14,4,None,Arrow,,Type of,
45,Line,,2,,,15,4,None,Arrow,,Type of,
46,Line,,2,,,14,15,None,Arrow,,,
47,Line,,2,,,15,14,None,Arrow,,,
48,Line,,2,,,13,16,None,Arrow,,,
49,Line,,2,,,13,12,None,Arrow,,Part of,
50,Line,,2,,,16,13,None,Arrow,,,
51,Line,,2,,,13,11,None,Arrow,,,
52,Line,,2,,,11,13,None,Arrow,,,
53,Line,,2,,,13,7,None,Arrow,,Part of,
54,Line,,2,,,4,17,None,Arrow,,,
55,Line,,2,,,17,9,None,Arrow,,,
56,Line,,2,,,7,17,None,Arrow,,,
57,Line,,2,,,17,7,None,Arrow,,,
