Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,47. Problem Behaviour Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Models protection,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Controls protection,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Supports protection,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour protection,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Models risk,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Vulnerability risk,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunity risk,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour risk,
11,Block,Standard,2,,,,,,,,Protective factors ,
12,Block,Standard,2,,,,,,,,Risk factors ,
13,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
14,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Problem behaviour,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-enhancing behaviour,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Pro-social behaviour,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
19,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
20,Line,,2,,,3,13,None,Arrow,,,
21,Line,,2,,,4,13,None,Arrow,,,
22,Line,,2,,,5,13,None,Arrow,,,
23,Line,,2,,,6,13,None,Arrow,,,
24,Line,,2,,,7,14,None,Arrow,,,
25,Line,,2,,,8,14,None,Arrow,,,
26,Line,,2,,,9,14,None,Arrow,,,
27,Line,,2,,,10,14,None,Arrow,,,
28,Line,,2,,,14,12,None,Arrow,,,
29,Line,,2,,,13,11,None,Arrow,,,
30,Line,,2,,,11,16,None,Arrow,,,
31,Line,,2,,,12,15,None,Arrow,,,
32,Line,,2,,,11,17,None,Arrow,,,
33,Line,,2,,,11,31,None,Arrow,,,
34,Line,,2,,,17,19,None,Arrow,,,
35,Line,,2,,,16,19,None,Arrow,,,
36,Line,,2,,,15,19,None,Arrow,,,
37,Line,,2,,,19,18,None,Arrow,,,
38,Line,,2,,,11,15,None,Arrow,,​-,
39,Line,,2,,,12,17,None,Arrow,,,
40,Line,,2,,,12,16,None,Arrow,,,
