Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,49. Protection Motivation Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Initiating sources,
4,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental sources,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrapersonal sources,
7,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Observational learning,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Verbal persuasion,
10,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Prior experiences,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Personality factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological factors,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotional feelings,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Threat appraisal,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Coping appraisal,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Vulnerability,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Severity ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrinsic rewards,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Extrinsic rewards,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Adaptive response,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Response costs,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Response efficacy,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Protection motivation,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Action or inhibition of action,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Fear arousal,
28,Or,Flowchart Shapes/Containers,2,,,,,,,,,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Maladaptive response,
30,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
31,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
32,Or,Flowchart Shapes/Containers,2,,,,,,,,,
33,Line,,2,,,4,3,None,Arrow,,,
34,Line,,2,,,5,4,None,Arrow,,,
35,Line,,2,,,6,4,None,Arrow,,,
36,Line,,2,,,8,7,None,Arrow,,,
37,Line,,2,,,9,7,None,Arrow,,,
38,Line,,2,,,7,5,None,Arrow,,,
39,Line,,2,,,10,6,None,Arrow,,,
40,Line,,2,,,11,10,None,Arrow,,,
41,Line,,2,,,12,10,None,Arrow,,,
42,Line,,2,,,13,10,None,Arrow,,,
43,Line,,2,,,14,10,None,Arrow,,,
44,Line,,2,,,3,15,None,Arrow,,,
45,Line,,2,,,3,16,None,Arrow,,,
46,Line,,2,,,15,28,Arrow,None,,,
47,Line,,2,,,15,25,None,Arrow,,,
48,Line,,2,,,16,25,None,Arrow,,,
49,Line,,2,,,25,26,None,Arrow,,,
50,Line,,2,,,18,28,None,Arrow,,​+,
51,Line,,2,,,17,28,None,Arrow,,​+,
52,Line,,2,,,27,18,None,Arrow,,,
53,Line,,2,,,19,30,None,Arrow,,,
54,Line,,2,,,20,30,None,Arrow,,,
55,Line,,2,,,29,30,Arrow,None,,,
56,Line,,2,,,29,28,None,Arrow,,​-,
57,Line,,2,,,23,31,None,Arrow,,,
58,Line,,2,,,24,31,None,Arrow,,,
59,Line,,2,,,21,31,Arrow,None,,,
60,Line,,2,,,32,21,Arrow,None,,​+,
61,Line,,2,,,32,22,Arrow,None,,​-,
62,Line,,2,,,32,16,None,Arrow,,,
