Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,53. Regulatory Fit Theory - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Block,Standard,2,,,,,,,,Goal pursuit ,
4,Block,Standard,2,,,,,,,,Decision-making / behaviour ,
5,Block,Standard,2,,,,,,,,Value from worth ,
6,Block,Standard,2,,,,,,,,Retrospective evaluations ,
7,Block,Standard,2,,,,,,,,Value from fit ,
8,Block,Standard,2,,,,,,,,Strength of engagement / motivation ,
9,Block,Standard,2,,,,,,,,Regulatory fit ,
10,Block,Standard,2,,,,,,,,Prevention focus ,
11,Block,Standard,2,,,,,,,,Promotion focus ,
12,Block,Standard,2,,,,,,,,Motivational orientation ,
13,Block,Standard,2,,,,,,,,Vigilance means ,
14,Block,Standard,2,,,,,,,,Eagerness means ,
15,Block,Standard,2,,,,,,,,Goal means ,
16,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
17,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
18,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
19,Block,Standard,2,,,,,,,,Prospective evaluations ,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Line,,2,,,14,16,None,Arrow,,,
22,Line,,2,,,13,16,None,Arrow,,,
23,Line,,2,,,16,15,None,Arrow,,,
24,Line,,2,,,11,17,None,Arrow,,,
25,Line,,2,,,10,17,None,Arrow,,,
26,Line,,2,,,17,12,None,Arrow,,,
27,Line,,2,,,15,18,None,Arrow,,,
28,Line,,2,,,12,18,None,Arrow,,,
29,Line,,2,,,18,9,None,Arrow,,,
30,Line,,2,,,9,8,None,Arrow,,​+,
31,Line,,2,,,9,7,None,Arrow,,​+,
32,Line,,2,,,9,6,None,Arrow,,​+,
33,Line,,2,,,9,19,None,Arrow,,​+,
34,Line,,2,,,8,7,None,Arrow,,​+,
35,Line,,2,,,7,6,None,Arrow,,​+,
36,Line,,2,,,7,5,None,Arrow,,,
37,Line,,2,,,7,19,None,Arrow,,​+,
38,Line,,2,,,5,6,None,Arrow,,​+,
39,Line,,2,,,3,4,None,Arrow,,,
40,Line,,2,,,12,20,None,Arrow,,,
41,Line,,2,,,15,20,None,Arrow,,,
42,Line,,2,,,6,20,None,Arrow,,,
43,Line,,2,,,19,20,None,Arrow,,,
44,Line,,2,,,5,20,None,Arrow,,,
45,Line,,2,,,7,20,None,Arrow,,,
46,Line,,2,,,8,20,None,Arrow,,,
47,Line,,2,,,9,20,None,Arrow,,,
48,Line,,2,,,20,3,None,Arrow,,,
49,Line,,2,,,5,19,None,Arrow,,​+,
