Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,54. Relapse Prevention Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Phasic responses,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive Processes,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective state,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical withdrawal,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Coping behaviour,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Distal risks,
10,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Tonic processes,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Substance use behaviour,
13,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
14,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectancies,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Craving,
19,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural / cognitive,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-regulation,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Abstinence violation effect,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived Effects,
24,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Contextual factors,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Social support,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Family history,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Dependence,
29,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement,
31,Line,,2,,,3,4,None,Arrow,,,
32,Line,,2,,,9,10,None,Arrow,,,
33,Line,,2,,,10,11,None,Arrow,,,
34,Line,,2,,,15,14,None,Arrow,,,
35,Line,,2,,,16,14,None,Arrow,,,
36,Line,,2,,,18,14,None,Arrow,,,
37,Line,,2,,,17,14,None,Arrow,,,
38,Line,,2,,,7,10,None,Arrow,,,
39,Line,,2,,,19,8,None,Arrow,,,
40,Line,,2,,,20,19,None,Arrow,,,
41,Line,,2,,,21,19,None,Arrow,,,
42,Line,,2,,,8,12,Arrow,Arrow,,Bi-directional influence,
43,Line,,2,,,6,8,Arrow,Arrow,,Bi-directional influence,
44,Line,,2,,,5,8,Arrow,Arrow,,Bi-directional influence,
45,Line,,2,,,6,12,Arrow,Arrow,,Bi-directional influence,
46,Line,,2,,,5,12,None,Arrow,,Bi-directional influence,
47,Line,,2,,,9,5,None,Arrow,,,
48,Line,,2,,,9,7,None,Arrow,,,
49,Line,,2,,,7,5,None,Arrow,,,
50,Line,,2,,,7,12,None,Arrow,,,
51,Line,,2,,,7,3,None,Arrow,,,
52,Line,,2,,,5,3,None,Arrow,,,
53,Line,,2,,,6,3,None,Arrow,,,
54,Line,,2,,,8,3,None,Arrow,,,
55,Line,,2,,,12,22,None,Arrow,,,
56,Line,,2,,,22,6,None,Arrow,,,
57,Line,,2,,,22,14,None,Arrow,,,
58,Line,,2,,,11,13,None,Arrow,,,
59,Line,,2,,,4,13,None,Arrow,,,
60,Line,,2,,,13,12,None,Arrow,,,
61,Line,,2,,,23,12,Arrow,Arrow,,Bi-directional influence,
62,Line,,2,,,22,24,None,Arrow,,,
63,Line,,2,,,24,23,None,Arrow,,,
64,Line,,2,,,14,5,None,Arrow,,,
65,Line,,2,,,25,60,None,Arrow,,,
66,Line,,2,,,28,29,None,Arrow,,,
67,Line,,2,,,26,29,None,Arrow,,,
68,Line,,2,,,9,12,None,Arrow,,,
69,Line,,2,,,27,29,None,Arrow,,,
70,Line,,2,,,29,9,None,Arrow,,,
71,Line,,2,,,6,5,Arrow,Arrow,,Bi-directional influence,
72,Line,,2,,,30,6,None,Arrow,,,
73,Line,,2,,,30,17,None,Arrow,,,
74,Line,,2,,,30,16,None,Arrow,,,
75,Line,,2,,,12,30,Arrow,Arrow,,Bi-directional influence,
