Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,55. Risk as Feelings Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcomes,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive evaluation,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Feelings,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Subjective probablities,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipated outcomes,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Other factors,
10,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Vividness,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Immediacy,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Background mood,
14,Line,,2,,,3,4,None,Arrow,,,
15,Line,,2,,,6,3,None,Arrow,,,
16,Line,,2,,,5,3,None,Arrow,,,
17,Line,,2,,,7,6,None,Arrow,,,
18,Line,,2,,,7,5,None,Arrow,,,
19,Line,,2,,,8,5,None,Arrow,,,
20,Line,,2,,,8,6,None,Arrow,,,
21,Line,,2,,,9,6,None,Arrow,,,
22,Line,,2,,,10,9,None,Arrow,,,
23,Line,,2,,,11,10,None,Arrow,,,
24,Line,,2,,,5,6,None,Arrow,,,
25,Line,,2,,,6,5,None,Arrow,,,
26,Line,,2,,,13,10,None,Arrow,,,
27,Line,,2,,,12,10,None,Arrow,,,
