Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,58. Self-Regulation Theory - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Block,Standard,2,,,,,,,,Sources of control ,
4,Block,Standard,2,,,,,,,,Behaviour ,
5,Block,Standard,2,,,,,,,,Cues from repertoire of cognitive and self-directive variables,
6,Block,Standard,2,,,,,,,,Automatic processing ,
7,Block,Standard,2,,,,,,,,Controlled processing ,
8,Block,Standard,2,,,,,,,,Discrepancy ,
9,Block,Standard,2,,,,,,,,External attribution ,
10,Block,Standard,2,,,,,,,,Internal attribution ,
11,Block,Standard,2,,,,,,,,Attributional processes ,
12,Block,Standard,2,,,,,,,,Self-reinforcement ,
13,Block,Standard,2,,,,,,,,Self-reinforcement stage ,
14,Block,Standard,2,,,,,,,,Standards ,
15,Block,Standard,2,,,,,,,,Self-monitoring outcome ,
16,Block,Standard,2,,,,,,,,Self-evaluation stage ,
17,Block,Standard,2,,,,,,,,Perceptions of control ,
18,Block,Standard,2,,,,,,,,Relevance to goals ,
19,Block,Standard,2,,,,,,,,Self-monitoring stage ,
20,Block,Standard,2,,,,,,,,Self-regulation ,
21,Block,Standard,2,,,,,,,,Biological system ,
22,Block,Standard,2,,,,,,,,Immediate environment ,
23,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
24,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
25,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
26,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
27,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
28,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
29,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
30,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
31,Line,,2,,,19,16,None,Arrow,,Transition,
32,Line,,2,,,15,23,None,Arrow,,,
33,Line,,2,,,23,16,None,Arrow,,,
34,Line,,2,,,25,11,None,Arrow,,,
35,Line,,2,,,10,25,None,Arrow,,,
36,Line,,2,,,9,25,None,Arrow,,,
37,Line,,2,,,11,12,None,Arrow,,​+,
38,Line,,2,,,12,26,None,Arrow,,,
39,Line,,2,,,11,26,None,Arrow,,,
40,Line,,2,,,16,13,None,Arrow,,Transition,
41,Line,,2,,,24,8,None,Arrow,,,
42,Line,,2,,,8,40,None,Arrow,,,
43,Line,,2,,,19,27,None,Arrow,,,
44,Line,,2,,,17,27,None,Arrow,,,
45,Line,,2,,,18,27,None,Arrow,,,
46,Line,,2,,,16,27,None,Arrow,,,
47,Line,,2,,,8,27,None,Arrow,,,
48,Line,,2,,,13,27,None,Arrow,,,
49,Line,,2,,,27,20,None,Arrow,,,
50,Line,,2,,,20,28,None,Arrow,,,
51,Line,,2,,,28,7,None,Arrow,,,
52,Line,,2,,,7,29,None,Arrow,,,
53,Line,,2,,,6,29,None,Arrow,,,
54,Line,,2,,,29,5,None,Arrow,,,
55,Line,,2,,,30,3,None,Arrow,,,
56,Line,,2,,,5,30,None,Arrow,,,
57,Line,,2,,,22,30,None,Arrow,,,
58,Line,,2,,,21,30,None,Arrow,,,
59,Line,,2,,,13,4,None,Arrow,,​+/-,
60,Line,,2,,,4,19,None,Arrow,,,
61,Line,,2,,,17,31,None,Arrow,,,
62,Line,,2,,,18,31,None,Arrow,,,
63,Line,,2,,,15,24,None,Arrow,,,
64,Line,,2,,,14,24,None,Arrow,,,
65,Line,,2,,,14,23,None,Arrow,,,
66,Line,,2,,,26,13,None,Arrow,,,
67,Line,,2,,,3,19,None,Arrow,,,
