Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,6. Change Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Driving forces,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Restraining forces,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Unfreezing,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Moving ,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Freezing,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Quasi-stationary equilibrium,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Group decision,
10,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
11,Line,,2,,,8,5,None,Arrow,,Transition,
12,Line,,2,,,5,6,None,Arrow,,Transition,
13,Line,,2,,,6,7,None,Arrow,,Transition,
14,Line,,2,,,10,11,None,Arrow,,,
15,Line,,2,,,10,12,None,Arrow,,,
16,Line,,2,,,10,13,None,Arrow,,,
17,Line,,2,,,7,8,None,Arrow,,Transition,
18,Line,,2,,,3,10,None,Arrow,,,
19,Line,,2,,,4,10,None,Arrow,,,
20,Line,,2,,,9,10,None,Arrow,,,
