Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,66. Social Ecological Model of Behaviour Change - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural beliefs and their evaluative aspects,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative beliefs and motivation to change,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Efficacy beliefs,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention to change,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour change,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social ecology,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Enabling factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Local and external investment ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Constraints on agency,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Time,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Economic,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
19,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Political and financial commitments,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Community priorities,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Organisational support,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Abilities,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Trigger for change,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Health impact,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Sustainability,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Culturally acceptable intervention,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Culturally compelling intervention,
30,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
31,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Effective intervention,
33,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
34,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
35,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
36,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
37,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
38,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
39,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
40,Line,,2,,,3,9,None,Arrow,,,
41,Line,,2,,,9,10,None,Arrow,,,
42,Line,,2,,,37,14,None,Arrow,,,
43,Line,,2,,,18,37,None,Arrow,,,
44,Line,,2,,,17,37,None,Arrow,,,
45,Line,,2,,,16,37,None,Arrow,,,
46,Line,,2,,,15,37,None,Arrow,,,
47,Line,,2,,,19,11,None,Arrow,,,
48,Line,,2,,,12,19,None,Arrow,,,
49,Line,,2,,,13,19,None,Arrow,,,
50,Line,,2,,,14,19,None,Arrow,,,
51,Line,,2,,,38,13,None,Arrow,,,
52,Line,,2,,,39,12,None,Arrow,,,
53,Line,,2,,,22,38,None,Arrow,,,
54,Line,,2,,,21,38,None,Arrow,,,
55,Line,,2,,,20,38,None,Arrow,,,
56,Line,,2,,,23,39,None,Arrow,,,
57,Line,,2,,,24,39,None,Arrow,,,
58,Line,,2,,,11,41,None,Arrow,,,
59,Line,,2,,,25,41,None,Arrow,,,
60,Line,,2,,,10,26,None,Arrow,,,
61,Line,,2,,,27,26,None,Arrow,,,
62,Line,,2,,,27,10,None,Arrow,,,
63,Line,,2,,,30,28,None,Arrow,,,
64,Line,,2,,,31,29,None,Arrow,,,
65,Line,,2,,,9,31,None,Arrow,,,
66,Line,,2,,,10,31,None,Arrow,,,
67,Line,,2,,,25,31,None,Arrow,,,
68,Line,,2,,,33,32,None,Arrow,,,
69,Line,,2,,,26,33,None,Arrow,,,
70,Line,,2,,,27,33,None,Arrow,,,
71,Line,,2,,,6,34,None,Arrow,,,
72,Line,,2,,,3,34,Arrow,None,,,
73,Line,,2,,,4,9,None,Arrow,,,
74,Line,,2,,,5,9,None,Arrow,,,
75,Line,,2,,,40,30,None,Arrow,,,
76,Line,,2,,,4,30,None,Arrow,,,
77,Line,,2,,,5,30,None,Arrow,,,
78,Line,,2,,,8,7,None,Arrow,,,
79,Line,,2,,,26,6,None,Arrow,,,
80,Line,,2,,,26,7,None,Arrow,,,
81,Line,,2,,,26,8,None,Arrow,,,
82,Line,,2,,,7,35,None,Arrow,,,
83,Line,,2,,,35,4,None,Arrow,,,
84,Line,,2,,,8,36,None,Arrow,,,
85,Line,,2,,,36,5,None,Arrow,,,
