Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,69. Social Influence Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Purposive value,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Informational value,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Instrumental value,
7,Connector,Flowchart Shapes/Containers,2,,,,,,,,Connector,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Value perception / motives,
9,Merge,Flowchart Shapes/Containers,2,,,,,,,,Merge,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-discovery,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-referent values,
12,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Group-referent values,
14,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Maintaining interpersonal connectivity,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Social enhancement,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Entertainment value,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Identification,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Internalisation,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social identity,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluative,
26,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Group norms,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Mutual agreement,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Mutual accommodation,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Desires,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,We-intentions,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Decision-making and participation,
33,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Network-based virtual communities,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Small-group-based virtual communitites,
36,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Community,
38,Line,,2,,,5,7,None,Arrow,,,
39,Line,,2,,,6,7,None,Arrow,,,
40,Line,,2,,,4,7,Arrow,None,,,
41,Line,,2,,,4,9,None,Arrow,,,
42,Line,,2,,,10,9,None,Arrow,,,
43,Line,,2,,,12,11,None,Arrow,,,
44,Line,,2,,,4,12,None,Arrow,,,
45,Line,,2,,,14,13,None,Arrow,,,
46,Line,,2,,,16,9,None,Arrow,,,
47,Line,,2,,,17,9,None,Arrow,,,
48,Line,,2,,,18,20,None,Arrow,,,
49,Line,,2,,,19,20,None,Arrow,,,
50,Line,,2,,,20,21,None,Arrow,,,
51,Line,,2,,,20,21,None,Arrow,,,
52,Line,,2,,,26,22,None,Arrow,,,
53,Line,,2,,,23,26,None,Arrow,,,
54,Line,,2,,,25,26,None,Arrow,,,
55,Line,,2,,,24,26,None,Arrow,,,
56,Line,,2,,,8,27,Arrow,Arrow,,,
57,Line,,2,,,9,22,None,Arrow,,,
58,Line,,2,,,27,22,Arrow,Arrow,,,
59,Line,,2,,,61,28,Arrow,None,,​+,
60,Line,,2,,,61,29,Arrow,None,,​+,
61,Line,,2,,,27,30,None,Arrow,,,
62,Line,,2,,,30,31,None,Arrow,,​+,
63,Line,,2,,,28,27,Arrow,Arrow,,Correlation,
64,Line,,2,,,29,27,Arrow,Arrow,,Correlation,
65,Line,,2,,,22,30,None,Arrow,,​+,
66,Line,,2,,,31,3,None,Arrow,,,
67,Line,,2,,,27,31,None,Arrow,,​+,
68,Line,,2,,,22,31,None,Arrow,,​+,
69,Line,,2,,,21,3,None,Arrow,,,
70,Line,,2,,,27,20,None,Arrow,,,
71,Line,,2,,,33,32,None,Arrow,,,
72,Line,,2,,,3,33,None,Arrow,,,
73,Line,,2,,,11,21,None,Arrow,,,
74,Line,,2,,,35,36,None,Arrow,,,
75,Line,,2,,,34,36,None,Arrow,,,
76,Line,,2,,,36,37,None,Arrow,,,
77,Line,,2,,,37,73,None,Arrow,,,
78,Line,,2,,,16,14,None,Arrow,,,
79,Line,,2,,,15,14,None,Arrow,,,
80,Line,,2,,,15,9,None,Arrow,,,
81,Line,,2,,,10,12,None,Arrow,,,
82,Line,,2,,,9,8,None,Arrow,,,
83,Line,,2,,,28,20,None,Arrow,,,
84,Line,,2,,,29,20,None,Arrow,,,
85,Line,,2,,,31,33,None,Arrow,,,
86,Line,,2,,,30,33,None,Arrow,,,
87,Line,,2,,,13,21,None,Arrow,,,
88,Line,,2,,,37,87,None,Arrow,,,
89,Line,,2,,,22,20,None,Arrow,,,
