Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,74. Temporal Self-Regulation Theory FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Block,Standard,2,,,,,,,,Motivational sphere ,
4,Block,Standard,2,,,,,,,,Executive function ,
5,Block,Standard,2,,,,,,,,Observed behaviour ,
6,Block,Standard,2,,,,,,,,Behavioural pre-potency ,
7,Block,Standard,2,,,,,,,,Perceived temporal proximity ,
8,Block,Standard,2,,,,,,,,Value ,
9,Block,Standard,2,,,,,,,,Temporal valuations ,
10,Block,Standard,2,,,,,,,,Intentions ,
11,Block,Standard,2,,,,,,,,Connectedness beliefs ,
12,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
13,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
14,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
15,Line,,2,,,8,13,None,Arrow,,,
16,Line,,2,,,7,13,None,Arrow,,,
17,Line,,2,,,9,10,None,Arrow,,​+,
18,Line,,2,,,11,10,None,Arrow,,​+,
19,Line,,2,,,13,9,None,Arrow,,,
20,Line,,2,,,9,14,None,Arrow,,,
21,Line,,2,,,11,14,None,Arrow,,,
22,Line,,2,,,10,14,None,Arrow,,,
23,Line,,2,,,14,3,None,Arrow,,,
24,Line,,2,,,10,5,None,Arrow,,​+,
25,Line,,2,,,6,24,None,Arrow,,​-,
26,Line,,2,,,4,24,None,Arrow,,​+,
27,Line,,2,,,4,5,None,Arrow,,​+,
28,Line,,2,,,6,5,None,Arrow,,​+,
29,Line,,2,,,5,6,None,Arrow,,,
30,Line,,2,,,5,4,None,Arrow,,,
31,Line,,2,,,5,11,None,Arrow,,,
32,Line,,2,,,5,9,None,Arrow,,,
33,Line,,2,,,8,12,None,Arrow,,,
34,Line,,2,,,7,12,None,Arrow,,,
35,Line,,2,,,12,9,None,Arrow,,,
36,Line,,2,,,4,6,None,Arrow,,,
