Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,76. Terror Management Health Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Health scenarios / threats,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Death thought activation,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Unconscious,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Conscious,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Relevance of behaviour for coping with threat,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Threat-avoidance outcomes,
9,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviour-oriented outcomes ,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Relevance of behaviour for meaning and self-esteem,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-defeating outcomes,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-facilitating outcomes,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Relevance of behaviour for threat of creatureliness,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Avoidance of body-oriented health behaviour,
16,Line,,2,,,3,4,None,Arrow,,,
17,Line,,2,,,6,9,None,Arrow,,,
18,Line,,2,,,5,9,None,Arrow,,,
19,Line,,2,,,9,4,None,Arrow,,,
20,Line,,2,,,7,21,None,Arrow,,,
21,Line,,2,,,6,8,None,Arrow,,,
22,Line,,2,,,6,10,None,Arrow,,,
23,Line,,2,,,7,22,None,Arrow,,,
24,Line,,2,,,5,12,None,Arrow,,,
25,Line,,2,,,5,13,None,Arrow,,,
26,Line,,2,,,11,24,None,Arrow,,,
27,Line,,2,,,11,25,None,Arrow,,,
28,Line,,2,,,5,15,None,Arrow,,,
29,Line,,2,,,14,28,None,Arrow,,,
