Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,78. Theory of Normative Social Behaviour - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative mechanisms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Group identity,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Social approval,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Benefits to others,
8,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Injunctive norms,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Descriptive norms,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Norms,
12,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectations,
14,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Benefits to oneself,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipatory socialisation,
17,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Similarity,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Aspirations,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,External monitoring,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Issue familiarity,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal communication,
24,Line,,2,,,5,12,None,Arrow,,,
25,Line,,2,,,13,12,None,Arrow,,,
26,Line,,2,,,12,4,None,Arrow,,,
27,Line,,2,,,14,13,None,Arrow,,,
28,Line,,2,,,7,14,None,Arrow,,,
29,Line,,2,,,15,14,None,Arrow,,,
30,Line,,2,,,16,14,None,Arrow,,,
31,Line,,2,,,17,5,None,Arrow,,,
32,Line,,2,,,18,17,None,Arrow,,,
33,Line,,2,,,19,17,None,Arrow,,,
34,Line,,2,,,10,3,None,Arrow,,,
35,Line,,2,,,4,34,None,Arrow,,​+,
36,Line,,2,,,20,34,None,Arrow,,​+,
37,Line,,2,,,21,34,None,Arrow,,​+,
38,Line,,2,,,22,34,None,Arrow,,​+,
39,Line,,2,,,9,12,None,Arrow,,,
40,Line,,2,,,6,9,None,Arrow,,,
41,Line,,2,,,9,8,None,Arrow,,,
42,Line,,2,,,8,11,None,Arrow,,,
43,Line,,2,,,10,8,None,Arrow,,,
44,Line,,2,,,23,34,None,Arrow,,​+,
