Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,8. COM-B - FINAL,
2,Page,,,,,,,,,,Untitled Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical capability ,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological capability,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Reflective motivation,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Automatic motivation,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical opportunity ,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Social opportunity ,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
10,Block,Standard,2,,,,,,,,Capability,
11,Block,Standard,2,,,,,,,,Motivation,
12,Block,Standard,2,,,,,,,,Opportunity,
13,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
14,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
15,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
16,Line,,2,,,3,13,None,Arrow,,,
17,Line,,2,,,4,13,None,Arrow,,,
18,Line,,2,,,5,14,None,Arrow,,,
19,Line,,2,,,6,14,None,Arrow,,,
20,Line,,2,,,7,15,None,Arrow,,,
21,Line,,2,,,8,15,None,Arrow,,,
22,Line,,2,,,13,10,None,Arrow,,,
23,Line,,2,,,14,11,None,Arrow,,,
24,Line,,2,,,15,12,None,Arrow,,,
25,Line,,2,,,11,9,None,Arrow,,,
26,Line,,2,,,12,9,None,Arrow,,,
27,Line,,2,,,10,9,None,Arrow,,,
28,Line,,2,,,9,10,None,Arrow,,,
29,Line,,2,,,9,12,None,Arrow,,,
30,Line,,2,,,9,11,None,Arrow,,,
31,Line,,2,,,12,11,None,Arrow,,,
32,Line,,2,,,10,11,None,Arrow,,,
