Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,80. Theory of Triadic Influence - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Social bonding,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-related knowledge,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Biology / personality,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Sense of self,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-determination,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Tiers of influence,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Ultimate causes tier,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social personal nexus tier,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Expectancy-value tier,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective / cognitive tier,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Decisions tier,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Experience,
16,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Streams of influence,
18,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
19,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Decisions / intentions,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrapersonal influences,
22,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences,
24,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudinal influences,
26,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
27,Summing junction,Flowchart Shapes/Containers,2,,,,,,,,,
28,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Cultural environment,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Immediate social context,
31,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Social competence,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Social learning,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-related values,
35,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived norms,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Expectations about consequences,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluations of consequences,
41,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
42,Process,Flowchart Shapes/Containers,2,,,,,,,,Social normative beliefs,
43,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-related behaviour,
45,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
46,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
47,Line,,2,,,8,20,None,Arrow,,,
48,Line,,2,,,18,42,None,Arrow,,,
49,Line,,2,,,37,18,None,Arrow,,,
50,Line,,2,,,44,15,None,Arrow,,,
51,Line,,2,,,36,19,None,Arrow,,,
52,Line,,2,,,7,19,None,Arrow,,,
53,Line,,2,,,8,19,Arrow,None,,,
54,Line,,2,,,5,22,None,Arrow,,,
55,Line,,2,,,21,22,Arrow,None,,,
56,Line,,2,,,21,16,None,Arrow,,,
57,Line,,2,,,17,16,Arrow,None,,,
58,Line,,2,,,23,16,None,Arrow,,,
59,Line,,2,,,30,24,None,Arrow,,,
60,Line,,2,,,23,24,Arrow,None,,,
61,Line,,2,,,30,33,None,Arrow,,,
62,Line,,2,,,30,3,None,Arrow,,,
63,Line,,2,,,38,18,None,Arrow,,,
64,Line,,2,,,20,44,None,Arrow,,,
65,Line,,2,,,29,26,None,Arrow,,,
66,Line,,2,,,25,26,Arrow,None,,,
67,Line,,2,,,25,16,None,Arrow,,,
68,Line,,2,,,29,34,None,Arrow,,,
69,Line,,2,,,29,4,None,Arrow,,,
70,Line,,2,,,45,27,Arrow,None,,,
71,Line,,2,,,45,20,None,Arrow,,,
72,Line,,2,,,10,28,None,Arrow,,,
73,Line,,2,,,11,28,None,Arrow,,,
74,Line,,2,,,13,28,None,Arrow,,,
75,Line,,2,,,14,28,None,Arrow,,,
76,Line,,2,,,28,9,None,Arrow,,,
77,Line,,2,,,8,41,None,Arrow,,,
78,Line,,2,,,20,43,None,Arrow,,,
79,Line,,2,,,14,43,Arrow,None,,,
80,Line,,2,,,21,23,None,Arrow,,,
81,Line,,2,,,15,34,None,Arrow,,,
82,Line,,2,,,15,39,None,Arrow,,,
83,Line,,2,,,15,38,None,Arrow,,,
84,Line,,2,,,15,37,None,Arrow,,,
85,Line,,2,,,15,36,None,Arrow,,,
86,Line,,2,,,15,7,None,Arrow,,,
87,Line,,2,,,32,31,None,Arrow,,,
88,Line,,2,,,33,31,None,Arrow,,,
89,Line,,2,,,3,31,None,Arrow,,,
90,Line,,2,,,4,31,None,Arrow,,,
91,Line,,2,,,5,46,None,Arrow,,,
92,Line,,2,,,25,23,None,Arrow,,,
93,Line,,2,,,23,21,None,Arrow,,,
94,Line,,2,,,23,25,None,Arrow,,,
95,Line,,2,,,25,21,None,Arrow,,,
96,Line,,2,,,6,7,None,Arrow,,,
97,Line,,2,,,3,7,None,Arrow,,,
98,Line,,2,,,4,7,None,Arrow,,,
99,Line,,2,,,32,36,None,Arrow,,,
100,Line,,2,,,4,36,None,Arrow,,,
101,Line,,2,,,32,37,None,Arrow,,,
102,Line,,2,,,4,37,None,Arrow,,,
103,Line,,2,,,34,38,None,Arrow,,,
104,Line,,2,,,32,39,None,Arrow,,,
105,Line,,2,,,33,39,None,Arrow,,,
106,Line,,2,,,34,40,None,Arrow,,,
107,Line,,2,,,7,35,None,Arrow,,,
108,Line,,2,,,36,35,None,Arrow,,,
109,Line,,2,,,37,35,None,Arrow,,,
110,Line,,2,,,38,35,None,Arrow,,,
111,Line,,2,,,39,35,None,Arrow,,,
112,Line,,2,,,40,35,None,Arrow,,,
113,Line,,2,,,42,41,None,Arrow,,,
114,Line,,2,,,6,38,None,Arrow,,,
115,Line,,2,,,12,28,None,Arrow,,,
116,Line,,2,,,21,25,None,Arrow,,,
117,Line,,2,,,42,20,None,Arrow,,,
118,Line,,2,,,33,37,None,Arrow,,,
119,Line,,2,,,33,36,None,Arrow,,,
120,Line,,2,,,15,4,None,Arrow,,,
121,Line,,2,,,46,10,None,Arrow,,,
122,Line,,2,,,30,46,None,Arrow,,,
123,Line,,2,,,29,46,None,Arrow,,,
124,Line,,2,,,5,6,None,Arrow,,,
125,Line,,2,,,5,32,None,Arrow,,,
126,Line,,2,,,31,11,None,Arrow,,,
127,Line,,2,,,6,31,None,Arrow,,,
128,Line,,2,,,41,13,None,Arrow,,,
129,Line,,2,,,45,41,None,Arrow,,,
130,Line,,2,,,40,27,None,Arrow,,,
131,Line,,2,,,39,27,None,Arrow,,,
132,Line,,2,,,35,12,None,Arrow,,,
133,Line,,2,,,6,40,None,Arrow,,,
134,Line,,2,,,33,40,None,Arrow,,,
135,Line,,2,,,4,39,None,Arrow,,,
136,Line,,2,,,3,38,None,Arrow,,,
137,Line,,2,,,15,40,None,Arrow,,,
138,Line,,2,,,15,6,None,Arrow,,,
139,Line,,2,,,15,32,None,Arrow,,,
140,Line,,2,,,15,33,None,Arrow,,,
141,Line,,2,,,34,31,None,Arrow,,,
142,Line,,2,,,15,3,None,Arrow,,,
