Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,82. Transtheoretical Model of Behaviour Change - RW + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Stage of change,
4,Connector,Flowchart Shapes/Containers,2,,,,,,,,Precontemplation,
5,Connector,Flowchart Shapes/Containers,2,,,,,,,,Contemplation,
6,Connector,Flowchart Shapes/Containers,2,,,,,,,,Preparation,
7,Connector,Flowchart Shapes/Containers,2,,,,,,,,Action,
8,Connector,Flowchart Shapes/Containers,2,,,,,,,,Maintenance,
9,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,Contemplation preparation transition,
10,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,Preparation action transition,
11,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,Precontemplation contemplation transition,
12,TerminatorBlock,Flowchart Shapes/Containers,2,,,,,,,,Action maintenance transition,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Decisional balance,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Temptation,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Consciousness-raising,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Dramatic relief/emotional arousal,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Self re-evaluation,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental re-evaluation,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Social liberation,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-liberation,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Stimulus control,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Helping relationships,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Counter-conditioning,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement management,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy temptation combination,
27,Line,,2,,,4,3,None,Arrow,,Value of,
28,Line,,2,,,5,3,None,Arrow,,Value of,
29,Line,,2,,,6,3,None,Arrow,,Value of,
30,Line,,2,,,7,3,None,Arrow,,Value of,
31,Line,,2,,,11,4,None,Arrow,,Has start,
32,Line,,2,,,11,5,None,Arrow,,Has end,
33,Line,,2,,,9,5,None,Arrow,,Has start,
34,Line,,2,,,10,6,None,Arrow,,Has start,
35,Line,,2,,,12,7,None,Arrow,,Has start,
36,Line,,2,,,9,6,None,Arrow,,Has end,
37,Line,,2,,,10,7,None,Arrow,,Has end,
38,Line,,2,,,12,8,None,Arrow,,Has end,
39,Line,,2,,,13,11,None,Arrow,,​+,
40,Line,,2,,,13,9,None,Arrow,,​+,
41,Line,,2,,,13,10,None,Arrow,,​+,
42,Line,,2,,,13,12,None,Arrow,,​+,
43,Line,,2,,,14,11,None,Arrow,,​+,
44,Line,,2,,,14,9,None,Arrow,,​+,
45,Line,,2,,,14,10,None,Arrow,,​+,
46,Line,,2,,,14,12,None,Arrow,,​+,
47,Line,,2,,,15,26,None,Arrow,,,
48,Line,,2,,,14,26,None,Arrow,,,
49,Line,,2,,,26,10,None,Arrow,,,
50,Line,,2,,,26,12,None,Arrow,,,
51,Line,,2,,,16,11,None,Arrow,,,
52,Line,,2,,,17,11,None,Arrow,,,
53,Line,,2,,,18,11,None,Arrow,,,
54,Line,,2,,,18,9,None,Arrow,,,
55,Line,,2,,,20,11,None,Arrow,,,
56,Line,,2,,,19,11,None,Arrow,,,
57,Line,,2,,,19,9,None,Arrow,,,
58,Line,,2,,,21,10,None,Arrow,,,
59,Line,,2,,,22,10,None,Arrow,,,
60,Line,,2,,,22,12,None,Arrow,,,
61,Line,,2,,,23,10,None,Arrow,,,
62,Line,,2,,,23,12,None,Arrow,,,
63,Line,,2,,,24,10,None,Arrow,,,
64,Line,,2,,,24,12,None,Arrow,,,
65,Line,,2,,,25,12,None,Arrow,,,
66,Line,,2,,,8,3,None,Arrow,,Value of,
67,Line,,2,,,21,9,None,Arrow,,​+,
68,Line,,2,,,21,12,None,Arrow,,​+,
