Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,83. Value Belief Norm Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-transcendent values,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Openness to change values,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Traditional values,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Egoistic values,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,New ecological paradigm,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Awareness of consequences (beliefs),
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Ascription of responsibility,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Pro-environmental personal norm,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Private-sphere behaviours,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Policy support,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental citizenship,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental activism,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal values,
16,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Altruistic values,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Biospheric values,
19,Merge,Flowchart Shapes/Containers,2,,,,,,,,,
20,Line,,2,,,3,7,None,Arrow,,,
21,Line,,2,,,6,7,None,Arrow,,​-,
22,Line,,2,,,5,7,None,Arrow,,​-,
23,Line,,2,,,7,8,None,Arrow,,,
24,Line,,2,,,10,14,None,Arrow,,,
25,Line,,2,,,10,13,None,Arrow,,,
26,Line,,2,,,10,12,None,Arrow,,,
27,Line,,2,,,10,11,None,Arrow,,,
28,Line,,2,,,9,10,None,Arrow,,,
29,Line,,2,,,8,9,None,Arrow,,,
30,Line,,2,,,16,15,None,Arrow,,,
31,Line,,2,,,3,16,None,Arrow,,,
32,Line,,2,,,6,16,None,Arrow,,,
33,Line,,2,,,5,16,None,Arrow,,,
34,Line,,2,,,4,16,None,Arrow,,,
35,Line,,2,,,4,7,None,Arrow,,,
36,Line,,2,,,17,19,None,Arrow,,,
37,Line,,2,,,18,19,None,Arrow,,,
38,Line,,2,,,19,3,None,Arrow,,,
39,Line,,2,,,3,6,Arrow,Arrow,,,
40,Line,,2,,,3,5,Arrow,Arrow,,,
41,Line,,2,,,3,4,Arrow,Arrow,,Correlations,
42,Line,,2,,,6,5,Arrow,Arrow,,,
43,Line,,2,,,6,4,Arrow,Arrow,,,
44,Line,,2,,,5,4,Arrow,Arrow,,,
