Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,16. Extended parallel processing model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes,2,,,,,,,,Severity,
4,Process,Flowchart Shapes,2,,,,,,,,Susceptibility,
5,Process,Flowchart Shapes,2,,,,,,,,Response efficacy,
6,Process,Flowchart Shapes,2,,,,,,,,Self-efficacy,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived severity,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived response efficacy,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived self-efficacy,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Fear ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Protective motivation,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Defensive motivation,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual differences,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Adaptive response,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Maladaptive response,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Message acceptance,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Critical point,
19,Process,Flowchart Shapes,2,,,,,,,,Fear appeal,
22,Process,Flowchart Shapes,2,,,,,,,,Perceived efficacy,
23,Process,Flowchart Shapes,2,,,,,,,,Perceived threat,
26,Process,Flowchart Shapes,2,,,,,,,,Danger control processes,
27,Process,Flowchart Shapes,2,,,,,,,,Fear-control processes,
30,Process,Flowchart Shapes,2,,,,,,,,Message components,
32,Line,,2,,,23,11,None,Arrow,,​+,
33,Line,,2,,,11,23,None,Arrow,,,
34,Line,,2,,,12,15,None,Arrow,,​+,
35,Line,,2,,,13,16,None,Arrow,,​+,
36,Line,,2,,,11,13,None,Arrow,,​+,
37,Line,,2,,,17,12,None,Arrow,,​+,
38,Line,,2,,,11,17,None,Arrow,,​-,
39,Line,,2,,,18,93,None,Arrow,,,
40,Line,,2,,,18,95,None,Arrow,,,
54,Line,,2,,,19,23,None,Arrow,,,
55,Line,,2,,,19,22,None,Arrow,,,
70,Line,,2,,,23,22,None,Arrow,,,
71,Line,,2,,,3,19,None,Arrow,,Part of,
72,Line,,2,,,5,19,None,Arrow,,Part of,
73,Line,,2,,,4,19,None,Arrow,,Part of,
74,Line,,2,,,6,19,None,Arrow,,Part of,
75,Line,,2,,,22,17,None,Arrow,,*,
76,Line,,2,,,22,11,None,Arrow,,*,
77,Line,,2,,,23,17,None,Arrow,,*,
78,Line,,2,,,23,11,None,Arrow,,*,
79,Line,,2,,,14,93,None,Arrow,,relates through,
80,Line,,2,,,14,95,None,Arrow,,relates through,
81,Line,,2,,,9,22,None,Arrow,,Part of,
82,Line,,2,,,10,22,None,Arrow,,Part of,
83,Line,,2,,,7,23,None,Arrow,,Part of,
84,Line,,2,,,8,23,None,Arrow,,Part of,
85,Line,,2,,,12,26,None,Arrow,,Part of,
86,Line,,2,,,15,26,None,Arrow,,Part of,
87,Line,,2,,,13,27,None,Arrow,,Part of,
88,Line,,2,,,16,27,None,Arrow,,Part of,
89,Line,,2,,,3,30,None,Arrow,,Type of,
90,Line,,2,,,5,30,None,Arrow,,Type of,
91,Line,,2,,,4,30,None,Arrow,,Type of,
92,Line,,2,,,6,30,None,Arrow,,Type of,
93,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Individual differences' to 'Message acceptance' Influences (*) relationship,
94,Line,,2,,,93,17,None,Arrow,,relates to,
95,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Individual differences' to 'Fear' Influences (*) relationship,
96,Line,,2,,,95,11,None,Arrow,,relates to,
