Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,17. Feedback Intervention Theory May 2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes,2,,,,,,,,Hierarchy of negative feedback loops ,
4,Process,Flowchart Shapes,2,,,,,,,,Meta-task processes ,
5,Process,Flowchart Shapes,2,,,,,,,,Abandoning the standard ,
6,Process,Flowchart Shapes,2,,,,,,,,Locus of attention ,
7,Process,Flowchart Shapes,2,,,,,,,,Task-motivation processes ,
8,Process,Flowchart Shapes,2,,,,,,,,Task-learning processes ,
9,Process,Flowchart Shapes,2,,,,,,,,Negative feedback loops ,
10,Process,Flowchart Shapes,2,,,,,,,,Goal-setting ,
11,Process,Flowchart Shapes,2,,,,,,,,Strategies for eliminating the feedback-standard gap ,
12,Process,Flowchart Shapes,2,,,,,,,,Depletion of cognitive resources ,
13,Process,Flowchart Shapes,2,,,,,,,,Performance / behaviour ,
14,Process,Flowchart Shapes,2,,,,,,,,Feedback sign ,
15,Process,Flowchart Shapes,2,,,,,,,,Feedback intervention-induced affect ,
16,Process,Flowchart Shapes,2,,,,,,,,Standards / goals ,
17,Process,Flowchart Shapes,2,,,,,,,,Feedback intervention ,
18,Process,Flowchart Shapes,2,,,,,,,,Feedback-standard discrepancies ,
22,Process,Flowchart Shapes,2,,,,,,,,Lowering the standard ,
23,Process,Flowchart Shapes,2,,,,,,,,Rejecting the feedback ,
27,Process,Flowchart Shapes,2,,,,,,,,Feedback intervention cues ,
28,Process,Flowchart Shapes,2,,,,,,,,Task characteristics ,
29,Process,Flowchart Shapes,2,,,,,,,,Situational variables ,
30,Process,Flowchart Shapes,2,,,,,,,,Personality ,
31,Process,Flowchart Shapes,2,,,,,,,,Arousal ,
32,Process,Flowchart Shapes,2,,,,,,,,Pleasantness ,
35,Process,Flowchart Shapes,2,,,,,,,,Affective processes,
36,Process,Flowchart Shapes,2,,,,,,,,Resolving feedback-self discrepancies,
38,Process,Flowchart Shapes,2,,,,,,,,Self-efficacy,
39,Process,Flowchart Shapes,2,,,,,,,,Anxiety,
40,Process,Flowchart Shapes,2,,,,,,,,Feedback intervention velocity,
42,Process,Flowchart Shapes,2,,,,,,,,Hypotheses,
44,Process,Flowchart Shapes,2,,,,,,,,Attention to the self ,
56,Line,,2,,,14,13,None,Arrow,,,
57,Line,,2,,,18,156,None,Arrow,,relates through,
59,Line,,2,,,12,13,None,Arrow,,,
60,Line,,2,,,11,13,None,Arrow,,,
66,Line,,2,,,15,14,None,Arrow,,,
83,Line,,2,,,17,6,None,Arrow,,,
98,Line,,2,,,4,12,None,Arrow,,,
99,Line,,2,,,4,15,None,Arrow,,,
100,Line,,2,,,17,4,None,Arrow,,,
105,Line,,2,,,29,27,None,Arrow,,,
106,Line,,2,,,27,29,None,Arrow,,,
107,Line,,2,,,28,27,None,Arrow,,,
108,Line,,2,,,27,28,None,Arrow,,,
109,Line,,2,,,29,28,None,Arrow,,,
110,Line,,2,,,28,29,None,Arrow,,,
111,Line,,2,,,4,9,None,Arrow,,*,
112,Line,,2,,,4,156,None,Arrow,,*,
113,Line,,2,,,8,9,None,Arrow,,*,
114,Line,,2,,,8,156,None,Arrow,,*,
115,Line,,2,,,7,9,None,Arrow,,*,
116,Line,,2,,,7,156,None,Arrow,,*,
117,Line,,2,,,6,9,None,Arrow,,*,
118,Line,,2,,,6,156,None,Arrow,,*,
