Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,24. Health Action Process Approach - FINAL - for analysis,,
2,Page,,,,,,,,,,Page 1,,
3,Process,Flowchart Shapes,2,,,,,,,,Self-efficacy ,,
4,Process,Flowchart Shapes,2,,,,,,,,Action ,,
5,Process,Flowchart Shapes,2,,,,,,,,Recovery self-efficacy ,,
6,Process,Flowchart Shapes,2,,,,,,,,Risk perception ,,
7,Process,Flowchart Shapes,2,,,,,,,,Outcome expectancies ,,
8,Process,Flowchart Shapes,2,,,,,,,,Maintenance self-efficacy ,,
9,Process,Flowchart Shapes,2,,,,,,,,Perceived severity ,,
10,Process,Flowchart Shapes,2,,,,,,,,Perceived vulnerability ,,
11,Process,Flowchart Shapes,2,,,,,,,,Action self-efficacy ,,
12,Process,Flowchart Shapes,2,,,,,,,,Social ,,
13,Process,Flowchart Shapes,2,,,,,,,,Emotional ,,
14,Process,Flowchart Shapes,2,,,,,,,,Physical ,,
17,Process,Flowchart Shapes,2,,,,,,,,Intention ,,
18,Process,Flowchart Shapes,2,,,,,,,,Planning ,,
19,Process,Flowchart Shapes,2,,,,,,,,Action planning ,,
20,Process,Flowchart Shapes,2,,,,,,,,Perceived social support ,,
21,Process,Flowchart Shapes,2,,,,,,,,Self-regulatory effort ,,
22,Process,Flowchart Shapes,2,,,,,,,,Self-monitoring ,,
23,Process,Flowchart Shapes,2,,,,,,,,Awareness of standards ,,
24,Process,Flowchart Shapes,2,,,,,,,,Action control ,,
26,Process,Flowchart Shapes,2,,,,,,,,Coping planning ,,
27,Process,Flowchart Shapes,2,,,,,,,,Motivational phase ,,
28,Process,Flowchart Shapes,2,,,,,,,,Volitional phase ,,
32,Process,Flowchart Shapes,2,,,,,,,,Non-intenders ,,
33,Process,Flowchart Shapes,2,,,,,,,,Intenders ,,
34,Process,Flowchart Shapes,2,,,,,,,,Actors ,,
41,Line,,2,,,6,17,None,Arrow,,​+,,
42,Line,,2,,,7,17,None,Arrow,,​+,,
43,Line,,2,,,11,17,None,Arrow,,​+,,
49,Line,,2,,,17,18,None,Arrow,,,,
50,Line,,2,,,11,19,None,Arrow,,​+,,
51,Line,,2,,,5,4,None,Arrow,,​+,,
52,Line,,2,,,20,113,None,Arrow,,Transition,,
53,Line,,2,,,20,17,None,Arrow,,,,
54,Line,,2,,,17,113,None,Arrow,,relates through,,
55,Line,,2,,,5,24,None,Arrow,,​+,,
56,Line,,2,,,17,24,None,Arrow,,​+,,
57,Line,,2,,,18,4,None,Arrow,,,,
62,Line,,2,,,24,4,Arrow,Arrow,,​+,​+,
63,Line,,2,,,8,4,None,Arrow,,​+,,
64,Line,,2,,,33,117,None,Arrow,,relates through,,
70,Line,,2,,,32,115,None,Arrow,,relates through,,
75,Line,,2,,,8,18,None,Arrow,,,,
76,Line,,2,,,11,115,None,Arrow,,​+,,
78,Line,,2,,,6,115,None,Arrow,,​+,,
81,Line,,2,,,7,115,None,Arrow,,​+,,
82,Line,,2,,,8,117,None,Arrow,,​+,,
83,Line,,2,,,5,117,None,Arrow,,​+,,
84,Line,,2,,,18,117,None,Arrow,,​+,,
85,Line,,2,,,24,117,None,Arrow,,​+,,
90,Line,,2,,,14,7,None,Arrow,,Type of,,
91,Line,,2,,,13,7,None,Arrow,,Type of,,
92,Line,,2,,,12,7,None,Arrow,,Type of,,
93,Line,,2,,,10,6,None,Arrow,,*,,
94,Line,,2,,,9,6,None,Arrow,,*,,
95,Line,,2,,,23,24,None,Arrow,,Part of,,
96,Line,,2,,,22,24,None,Arrow,,Part of,,
97,Line,,2,,,21,24,None,Arrow,,Part of,,
98,Line,,2,,,32,27,None,Arrow,,Part of,,
99,Line,,2,,,11,27,None,Arrow,,Part of,,
100,Line,,2,,,6,27,None,Arrow,,Part of,,
101,Line,,2,,,7,27,None,Arrow,,Part of,,
102,Line,,2,,,19,18,None,Arrow,,Type of,,
103,Line,,2,,,26,18,None,Arrow,,Type of,,
104,Line,,2,,,33,28,None,Arrow,,Part of,,
105,Line,,2,,,34,28,None,Arrow,,Part of,,
106,Line,,2,,,24,28,None,Arrow,,Part of,,
107,Line,,2,,,18,28,None,Arrow,,Part of,,
108,Line,,2,,,5,28,None,Arrow,,Part of,,
109,Line,,2,,,8,28,None,Arrow,,Part of,,
110,Line,,2,,,11,3,None,Arrow,,Type of,,
111,Line,,2,,,8,3,None,Arrow,,Type of,,
112,Line,,2,,,5,3,None,Arrow,,Type of,,
113,Terminator,Flowchart Shapes,2,,,,,,,,the 'Intention' to 'Action' Influences relationship,,
114,Line,,2,,,113,4,None,Arrow,,relates to,,
115,Terminator,Flowchart Shapes,2,,,,,,,,the 'Non-intenders' to 'Intenders' Transitions to relationship,,
116,Line,,2,,,115,33,None,Arrow,,relates to,,
117,Terminator,Flowchart Shapes,2,,,,,,,,the 'Intenders' to 'Actors' Transitions to relationship,,
118,Line,,2,,,117,34,None,Arrow,,relates to,,
