Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,26. Health Behaviour Internalisation Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes,2,,,,,,,,Self-needs,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Ownership,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-determination,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Security,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Support,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviour-related needs,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Preference,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Context,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Coping,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Competence,
14,Process,Flowchart Shapes,2,,,,,,,,Self-efficacy,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,External regulation of health behaviour,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Introjected internalisation and self-regulation of health behaviour,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Experience of being controlled and conflicted about health behaviour ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviour maintenance,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to engage in health behaviour,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Integrated internalisation and self-regulation of health behaviour,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Experience of autonomy support and positive engagement with health behaviour ,
30,Line,,2,,,16,17,None,Arrow,,,
31,Line,,2,,,17,16,None,Arrow,,Transition,
37,Line,,2,,,17,19,None,Arrow,,​-,
38,Line,,2,,,16,19,None,Arrow,,​-,
39,Line,,2,,,22,19,None,Arrow,,​+,
40,Line,,2,,,17,22,Arrow,Arrow,,Transition,
43,Line,,2,,,21,18,None,Arrow,,,
44,Line,,2,,,18,16,None,Arrow,,,
45,Line,,2,,,18,17,None,Arrow,,,
47,Line,,2,,,24,22,None,Arrow,,,
48,Line,,2,,,21,24,None,Arrow,,,
51,Line,,2,,,4,3,None,Arrow,,Part of,
52,Line,,2,,,5,3,None,Arrow,,Part of,
53,Line,,2,,,6,3,None,Arrow,,Part of,
54,Line,,2,,,7,3,None,Arrow,,Part of,
55,Line,,2,,,10,9,None,Arrow,,Part of,
56,Line,,2,,,13,9,None,Arrow,,Part of,
57,Line,,2,,,12,9,None,Arrow,,Part of,
58,Line,,2,,,11,9,None,Arrow,,Part of,
59,Line,,2,,,14,13,None,Arrow,,Part of,
60,Line,,2,,,9,21,None,Arrow,,Part of,
61,Line,,2,,,3,21,None,Arrow,,Part of,
