Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,29. I-Change Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Predisposing factors,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural factors,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological factors,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological factors,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Social and cultural factors,
9,Process,Flowchart Shapes,2,,,,,,,,Information factors,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Message,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Channel,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Source,
14,Process,Flowchart Shapes,2,,,,,,,,Awareness factors,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Knowledge,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Cues to action,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Risk perception,
19,Process,Flowchart Shapes,2,,,,,,,,Motivation factors,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitude,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Social modelling,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Support / pressure,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Response efficacy / cognitive and emotional pros and cons,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Social self-efficacy,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Situational self-efficacy,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Stress self-efficacy,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Routine self-efficacy,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation / intention state,
