Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,30. Information-Motivation-Behavioural Skills Model - RW +corrections May2020,,
2,Page,,,,,,,,,,Page 1,,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Enactment of AIDS preventive behaviour,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Performance of behavioural skills,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Information,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-acceptance of sexuality,,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability to acquire behaviourally relevant information,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability to practise self and partner reinforcement,,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability to negotiate AIDS prevention with partner,,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability to perform public prevention acts,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Consistent AIDS prevention ability,,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Group-specific skills,,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Information about means of transmission,,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Information about means of prevention,,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Decision rules about tranmission and prevention,,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Implicit theories about risk and prevention,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about outcomes,,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluation of outcomes,,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about support / opposition from significant others,,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply with referent others' wishes,,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Complexity of AIDS preventive behaviour,,
28,Line,,2,,,4,3,None,Arrow,,​+,,
29,Line,,2,,,5,4,None,Arrow,,​+,,
30,Line,,2,,,6,4,None,Arrow,,​+,,
31,Line,,2,,,5,6,None,Arrow,,?,,
32,Line,,2,,,6,5,None,Arrow,,?,,
35,Line,,2,,,6,60,None,Arrow,,relates through,,
36,Line,,2,,,5,58,None,Arrow,,relates through,,
37,Line,,2,,,21,6,None,Arrow,,Part of,,
38,Line,,2,,,22,6,None,Arrow,,Part of,,
39,Line,,2,,,23,21,None,Arrow,,*,,
40,Line,,2,,,24,21,None,Arrow,,*,,
41,Line,,2,,,25,22,None,Arrow,,*,,
42,Line,,2,,,26,22,None,Arrow,,*,,
43,Line,,2,,,3,27,None,Arrow,,Has attribute,,
44,Line,,2,,,27,58,None,Arrow,,​-,,
45,Line,,2,,,27,60,None,Arrow,,​-,,
46,Line,,2,,,7,4,None,Arrow,,Type of,,
47,Line,,2,,,8,4,None,Arrow,,Type of,,
48,Line,,2,,,9,4,None,Arrow,,Type of,,
49,Line,,2,,,10,4,None,Arrow,,Type of,,
50,Line,,2,,,11,4,None,Arrow,,Type of,,
51,Line,,2,,,12,4,None,Arrow,,Type of,,
52,Line,,2,,,13,4,None,Arrow,,Type of,,
53,Line,,2,,,14,4,None,Arrow,,Type of,,
54,Line,,2,,,16,5,None,Arrow,,Type of,,
55,Line,,2,,,17,5,None,Arrow,,Type of,,
56,Line,,2,,,18,5,None,Arrow,,Type of,,
57,Line,,2,,,19,5,None,Arrow,,Type of,,
58,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Information' to 'Enactment of AIDS preventive behaviour' ​+? relationship,,
59,Line,,2,,,58,3,None,Arrow,,relates to,,
60,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Motivation' to 'Enactment of AIDS preventive behaviour' ​+? relationship,,
61,Line,,2,,,60,3,None,Arrow,,relates to,,
