Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,39. Model of Pro-Environmental Behavior - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Gender,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Years of education,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Institutional factors,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Economic factors,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Social and cultural factors,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Values,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes ,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Costs,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental knowledge and awareness,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotional involvement,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Direct environmental behaviour,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Indirect environmental behaviour,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Willingness to change,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Decisions,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Locus of control,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Barriers,
21,Process,Flowchart Shapes,2,,,,,,,,Demographic factors,
23,Process,Flowchart Shapes,2,,,,,,,,External factors,
26,Process,Flowchart Shapes,2,,,,,,,,Pro-environmental consciousness,
28,Process,Flowchart Shapes,2,,,,,,,,Internal factors,
30,Line,,2,,,8,9,None,Arrow,,,
31,Line,,2,,,8,14,None,Arrow,,,
32,Line,,2,,,12,15,None,Arrow,,,
33,Line,,2,,,28,14,None,Arrow,,,
34,Line,,2,,,14,28,None,Arrow,,,
35,Line,,2,,,23,28,None,Arrow,,,
57,Line,,2,,,20,21,None,Arrow,,,
58,Line,,2,,,20,28,None,Arrow,,,
59,Line,,2,,,20,15,None,Arrow,,,
60,Line,,2,,,20,23,None,Arrow,,,
61,Line,,2,,,20,14,None,Arrow,,,
62,Line,,2,,,28,23,None,Arrow,,,
64,Line,,2,,,6,18,None,Arrow,,,
65,Line,,2,,,23,14,None,Arrow,,,
66,Line,,2,,,19,14,None,Arrow,,,
68,Line,,2,,,10,15,None,Arrow,,,
69,Line,,2,,,3,17,None,Arrow,,,
70,Line,,2,,,3,16,None,Arrow,,,
71,Line,,2,,,3,10,None,Arrow,,,
72,Line,,2,,,4,12,None,Arrow,,,
73,Line,,2,,,3,13,None,Arrow,,,
74,Line,,2,,,3,12,None,Arrow,,,
75,Line,,2,,,3,21,None,Arrow,,Part of,
76,Line,,2,,,4,21,None,Arrow,,Part of,
77,Line,,2,,,5,23,None,Arrow,,Part of,
78,Line,,2,,,6,23,None,Arrow,,Part of,
79,Line,,2,,,7,23,None,Arrow,,Part of,
80,Line,,2,,,10,14,None,Arrow,,*,
81,Line,,2,,,11,14,None,Arrow,,*,
82,Line,,2,,,10,26,None,Arrow,,Part of,
83,Line,,2,,,13,26,None,Arrow,,Part of,
84,Line,,2,,,12,26,None,Arrow,,Part of,
85,Line,,2,,,9,26,None,Arrow,,Part of,
86,Line,,2,,,8,26,None,Arrow,,Part of,
87,Line,,2,,,26,28,None,Arrow,,Part of,
88,Line,,2,,,11,28,None,Arrow,,Part of,
89,Line,,2,,,16,28,None,Arrow,,Part of,
90,Line,,2,,,17,28,None,Arrow,,Part of,
91,Line,,2,,,18,28,None,Arrow,,Part of,
92,Line,,2,,,19,28,None,Arrow,,Part of,
