Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,42. Norm Activation Theory - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of need and responsibility,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Awareness of need,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception that need can be relieved by action,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Recognition of own ability to provide relief,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Causal responsibility,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Distinctive Suitability,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Directed appeal,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Specific personal norms,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,"Assessment, evaluation and reassessment",
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Assessment and evaluation of responses,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Denial of the state of Need,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Denial of responsibility to respond,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Denial of suitability of norms,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Action or inaction response,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Costs and benefits,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Moral,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Reassessment and redefinition of the situation,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Accountability,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Arousal of some sense of responsibility to respond,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Activation of norms,
38,Line,,2,,,6,29,None,Arrow,,,
39,Line,,2,,,12,17,None,Arrow,,​+,
40,Line,,2,,,30,12,None,Arrow,,​+,
41,Line,,2,,,7,29,None,Arrow,,,
42,Line,,2,,,8,29,None,Arrow,,,
43,Line,,2,,,10,17,None,Arrow,,,
44,Line,,2,,,11,10,None,Arrow,,,
50,Line,,2,,,9,29,None,Arrow,,,
51,Line,,2,,,28,29,None,Arrow,,,
53,Line,,2,,,13,26,Arrow,Arrow,,Transition,
57,Line,,2,,,13,10,None,Arrow,,,
58,Line,,2,,,11,27,None,Arrow,,,
59,Line,,2,,,4,5,None,Arrow,,,
60,Line,,2,,,5,6,None,Arrow,,,
62,Line,,2,,,3,89,None,Arrow,,relates through,
63,Line,,2,,,29,89,None,Arrow,,​+,
67,Line,,2,,,26,17,None,Arrow,,​+,
71,Line,,2,,,10,26,None,Arrow,,,
73,Line,,2,,,4,3,None,Arrow,,Part of,
74,Line,,2,,,5,3,None,Arrow,,Part of,
75,Line,,2,,,6,3,None,Arrow,,Part of,
76,Line,,2,,,29,3,None,Arrow,,Part of,
77,Line,,2,,,13,12,None,Arrow,,Part of,
78,Line,,2,,,26,12,None,Arrow,,Part of,
79,Line,,2,,,21,13,None,Arrow,,Part of,
80,Line,,2,,,25,21,None,Arrow,,Type of,
81,Line,,2,,,27,21,None,Arrow,,Type of,
82,Line,,2,,,23,21,None,Arrow,,Type of,
83,Line,,2,,,24,21,None,Arrow,,Type of,
84,Line,,2,,,16,26,None,Arrow,,Part of,
85,Line,,2,,,15,26,None,Arrow,,Part of,
86,Line,,2,,,14,26,None,Arrow,,Part of,
87,Line,,2,,,11,30,None,Arrow,,Part of,
88,Line,,2,,,10,30,None,Arrow,,Part of,
89,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Perception of need and responsibility' to 'Activation of norms' ​+ relationship,
90,Line,,2,,,89,30,None,Arrow,,relates to,
