Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,43. Operant Conditioning - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Differential reinforcement,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Intermittent reinforcement,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Fixed-interval reinforcement,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Variable-interval reinforcement,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Fixed-ratio reinforcement,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Variable-ratio reinforcement,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Combined schedule of reinforcement,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Schedule of reinforcement,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Neutral stimuli,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Conditioned reinforcer,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Generalised reinforcer,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Stimulus,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Response,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Operant behaviour,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Extinction,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Primary reinforcer,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Multiple primary reinforcers,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Positive reinforcement,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Response cost,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Negative punishment,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Operant discrimination,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Shaping and chaining,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Stimulus and situational generalisation,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Skill performance deficits,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Response generalisation,
34,Line,,2,,,12,87,None,Arrow,,relates through,
35,Line,,2,,,13,89,None,Arrow,,relates through,
50,Line,,2,,,15,16,None,Arrow,,,
52,Line,,2,,,15,29,None,Arrow,,,
54,Line,,2,,,31,15,None,Arrow,,,
55,Line,,2,,,17,30,None,Arrow,,,
56,Line,,2,,,17,31,None,Arrow,,,
59,Line,,2,,,16,11,None,Arrow,,,
60,Line,,2,,,11,18,None,Arrow,,,
61,Line,,2,,,11,17,None,Arrow,,,
62,Line,,2,,,30,11,None,Arrow,,,
65,Line,,2,,,17,33,None,Arrow,,,
66,Line,,2,,,33,16,None,Arrow,,,
67,Line,,2,,,14,11,None,Arrow,,,
70,Line,,2,,,10,11,None,Arrow,,Type of,
71,Line,,2,,,26,11,None,Arrow,,Type of,
72,Line,,2,,,29,11,None,Arrow,,Type of,
73,Line,,2,,,32,11,None,Arrow,,Type of,
74,Line,,2,,,28,11,None,Arrow,,Type of,
75,Line,,2,,,27,11,None,Arrow,,Type of,
76,Line,,2,,,12,87,None,Arrow,,*,
77,Line,,2,,,20,87,None,Arrow,,*,
78,Line,,2,,,13,89,None,Arrow,,*,
79,Line,,2,,,23,89,None,Arrow,,*,
80,Line,,2,,,3,10,None,Arrow,,Type of,
81,Line,,2,,,4,10,None,Arrow,,Type of,
82,Line,,2,,,9,4,None,Arrow,,Type of,
83,Line,,2,,,7,4,None,Arrow,,Type of,
84,Line,,2,,,8,4,None,Arrow,,Type of,
85,Line,,2,,,6,4,None,Arrow,,Type of,
86,Line,,2,,,5,4,None,Arrow,,Type of,
87,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Neutral stimuli' to 'Conditioned reinforcer' Transitions to relationship,
88,Line,,2,,,87,13,None,Arrow,,relates to,
89,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Conditioned reinforcer' to 'Generalised reinforcer' Transitions to relationship,
90,Line,,2,,,89,14,None,Arrow,,relates to,
