Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,45. Pressure System Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Resistance,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour change,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about importance,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about personal risk,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about the efficacy of change,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Capacity,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Locus of control,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Fixed impediments to change,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Clinical scenarios,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Precontemplative with no prior behaviour change attempts,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Contemplative or preparative with no prior behaviour change attempts,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour modification or maintenance of behaviour change,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Lapse,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Precontemplative or contemplative with prior behaviour change attempts,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-esteem,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
44,Line,,2,,,6,23,None,Arrow,,,
45,Line,,2,,,6,24,None,Arrow,,,
46,Line,,2,,,23,13,None,Arrow,,,
47,Line,,2,,,24,13,None,Arrow,,,
50,Line,,2,,,3,6,None,Arrow,,*,
51,Line,,2,,,4,64,None,Arrow,,relates through,
52,Line,,2,,,7,3,None,Arrow,,Part of,
53,Line,,2,,,8,3,None,Arrow,,Part of,
54,Line,,2,,,9,3,None,Arrow,,Part of,
55,Line,,2,,,11,64,None,Arrow,,*,
56,Line,,2,,,13,64,None,Arrow,,*,
57,Line,,2,,,15,4,None,Arrow,,Part of,
58,Line,,2,,,18,16,None,Arrow,,Type of,
59,Line,,2,,,19,16,None,Arrow,,Type of,
60,Line,,2,,,20,16,None,Arrow,,Type of,
61,Line,,2,,,21,16,None,Arrow,,Type of,
62,Line,,2,,,22,16,None,Arrow,,Type of,
63,Line,,2,,,16,6,None,Arrow,,Type of,
64,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Resistance' to 'Behaviour change' Influences (*) relationship,
65,Line,,2,,,64,6,None,Arrow,,relates to,
