Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,49. Protection Motivation Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Initiating sources,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental sources,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrapersonal sources,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Observational learning,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Verbal persuasion,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Prior experiences,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Personality factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological factors,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotional feelings,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Threat appraisal,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Coping appraisal,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Vulnerability,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Severity ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrinsic rewards,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Extrinsic rewards,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Adaptive response,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Response costs,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Response efficacy,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Protection motivation,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Action or inhibition of action,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Fear arousal,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Maladaptive response,
44,Line,,2,,,3,15,None,Arrow,,,
45,Line,,2,,,3,16,None,Arrow,,,
47,Line,,2,,,15,25,None,Arrow,,,
48,Line,,2,,,16,25,None,Arrow,,,
49,Line,,2,,,25,26,None,Arrow,,,
52,Line,,2,,,27,18,None,Arrow,,,
63,Line,,2,,,5,3,None,Arrow,,Type of,
64,Line,,2,,,6,3,None,Arrow,,Type of,
65,Line,,2,,,8,5,None,Arrow,,Type of,
66,Line,,2,,,9,5,None,Arrow,,Type of,
67,Line,,2,,,11,6,None,Arrow,,Type of,
68,Line,,2,,,12,6,None,Arrow,,Type of,
69,Line,,2,,,13,6,None,Arrow,,Type of,
70,Line,,2,,,14,6,None,Arrow,,Type of,
71,Line,,2,,,18,15,None,Arrow,,+,
72,Line,,2,,,17,15,None,Arrow,,+,
73,Line,,2,,,29,15,None,Arrow,,+,
74,Line,,2,,,19,29,None,Arrow,,Part of,
75,Line,,2,,,20,29,None,Arrow,,Part of,
76,Line,,2,,,23,21,None,Arrow,,Part of,
77,Line,,2,,,24,21,None,Arrow,,Part of,
78,Line,,2,,,21,16,None,Arrow,,+,
79,Line,,2,,,22,16,None,Arrow,,+,
