Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,51. Rational Addiction Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Past consumption,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Current consumption,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Addiction,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Marginal utility,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Adjacent complementarity,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Rationality,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Unstable steady states,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Multiple steady states,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Bimodal distribution of consumption,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Harmful addiction,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Beneficial addiction,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Present-oriented,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Future-oriented,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Price,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Stress,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Time preference,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Myopia,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Binging,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Quitting,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,People,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Goods ,
33,Line,,2,,,3,6,None,Arrow,,,
37,Line,,2,,,15,12,None,Arrow,,,
38,Line,,2,,,16,13,None,Arrow,,,
39,Line,,2,,,17,4,None,Arrow,,​-,
40,Line,,2,,,18,12,None,Arrow,,,
41,Line,,2,,,18,6,None,Arrow,,,
46,Line,,2,,,6,7,None,Arrow,,,
47,Line,,2,,,7,5,None,Arrow,,​+,
48,Line,,2,,,5,21,None,Arrow,,,
49,Line,,2,,,21,5,None,Arrow,,,
52,Line,,2,,,15,21,Arrow,Arrow,,Correlation,
60,Line,,2,,,9,10,None,Arrow,,,
61,Line,,2,,,10,5,None,Arrow,,,
62,Line,,2,,,10,4,None,Arrow,,,
63,Line,,2,,,22,6,None,Arrow,,,
64,Line,,2,,,6,22,None,Arrow,,,
65,Line,,2,,,23,6,None,Arrow,,,
66,Line,,2,,,6,23,None,Arrow,,,
67,Line,,2,,,12,5,None,Arrow,,Type of,
68,Line,,2,,,13,5,None,Arrow,,Type of,
69,Line,,2,,,15,20,None,Arrow,,Type of,
70,Line,,2,,,16,20,None,Arrow,,Type of,
71,Line,,2,,,6,5,None,Arrow,,*,
72,Line,,2,,,4,5,None,Arrow,,*,
73,Line,,2,,,21,8,None,Arrow,,Part of,
74,Line,,2,,,20,26,None,Arrow,,Part of,
75,Line,,2,,,11,30,None,Arrow,,Part of,
76,Line,,2,,,26,5,None,Arrow,,*,
77,Line,,2,,,30,5,None,Arrow,,*,
