Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,52. Reflective Impulsive Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Impulsive system,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Experiential state of awareness,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Spreading activation,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Associative clusters,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivational orientation,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Approach ,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Avoidance,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Reflective system,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Noetic state of awareness,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Relational schemata,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Truth values,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Syllogistic rules,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Noetic decisions,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Propositional representations,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Propositional categorisations,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural decision,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Intending,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Arousal,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural schemata,
32,Line,,2,,,22,11,None,Arrow,,,
33,Line,,2,,,22,4,None,Arrow,,,
34,Line,,2,,,3,23,None,Arrow,,,
38,Line,,2,,,8,23,None,Arrow,,,
39,Line,,2,,,4,6,None,Arrow,,,
40,Line,,2,,,3,18,None,Arrow,,,
41,Line,,2,,,18,16,None,Arrow,,,
42,Line,,2,,,16,19,None,Arrow,,,
43,Line,,2,,,8,6,None,Arrow,,,
44,Line,,2,,,14,13,None,Arrow,,,
45,Line,,2,,,4,11,None,Arrow,,,
46,Line,,2,,,11,4,None,Arrow,,,
49,Line,,2,,,7,6,None,Arrow,,,
53,Line,,2,,,13,15,None,Arrow,,,
54,Line,,2,,,15,16,None,Arrow,,,
55,Line,,2,,,20,80,None,Arrow,,,
57,Line,,2,,,28,23,None,Arrow,,,
58,Line,,2,,,7,28,None,Arrow,,,
59,Line,,2,,,6,28,None,Arrow,,,
60,Line,,2,,,21,80,None,Arrow,,relates through,
61,Line,,2,,,3,28,None,Arrow,,,
62,Line,,2,,,21,19,None,Arrow,,,
66,Line,,2,,,3,6,None,Arrow,,,
67,Line,,2,,,11,28,None,Arrow,,*,
68,Line,,2,,,4,28,None,Arrow,,*,
69,Line,,2,,,9,8,None,Arrow,,Type of,
70,Line,,2,,,10,8,None,Arrow,,Type of,
71,Line,,2,,,7,4,None,Arrow,,Part of,
72,Line,,2,,,7,6,None,Arrow,,Part of,
73,Line,,2,,,5,4,None,Arrow,,Part of,
74,Line,,2,,,5,6,None,Arrow,,Part of,
75,Line,,2,,,3,4,None,Arrow,,Part of,
76,Line,,2,,,3,6,None,Arrow,,Part of,
77,Line,,2,,,12,11,None,Arrow,,Part of,
78,Line,,2,,,17,11,None,Arrow,,Part of,
79,Line,,2,,,28,11,None,Arrow,,Part of,
80,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Intending' to 'Behavioural schemata' Influences relationship,
81,Line,,2,,,80,28,None,Arrow,,relates to,
