Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,54. Relapse Prevention Theory - FINAL,
2,Page,,,,,,,,,,New Page,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Phasic responses,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive Processes,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective state,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical withdrawal,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Coping behaviour,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Distal risks,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Tonic processes,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Substance use behaviour,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectancies,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Craving,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural / cognitive,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-regulation,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Abstinence violation effect,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived Effects,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Contextual factors,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Social support,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Family history,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Dependence,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement,
42,Line,,2,,,8,12,Arrow,Arrow,,Bi-directional influence,
43,Line,,2,,,6,8,Arrow,Arrow,,Bi-directional influence,
44,Line,,2,,,5,8,Arrow,Arrow,,Bi-directional influence,
45,Line,,2,,,6,12,Arrow,Arrow,,Bi-directional influence,
46,Line,,2,,,5,12,None,Arrow,,Bi-directional influence,
47,Line,,2,,,9,5,None,Arrow,,,
48,Line,,2,,,9,7,None,Arrow,,,
49,Line,,2,,,7,5,None,Arrow,,,
50,Line,,2,,,7,12,None,Arrow,,,
55,Line,,2,,,12,22,None,Arrow,,,
56,Line,,2,,,22,6,None,Arrow,,,
61,Line,,2,,,23,12,Arrow,Arrow,,Bi-directional influence,
65,Line,,2,,,25,95,None,Arrow,,,
68,Line,,2,,,9,12,None,Arrow,,,
71,Line,,2,,,6,5,Arrow,Arrow,,Bi-directional influence,
72,Line,,2,,,30,6,None,Arrow,,,
73,Line,,2,,,30,17,None,Arrow,,,
74,Line,,2,,,30,16,None,Arrow,,,
75,Line,,2,,,12,30,Arrow,Arrow,,Bi-directional influence,
76,Line,,2,,,7,4,Arrow,Arrow,,Part of,
77,Line,,2,,,5,4,Arrow,Arrow,,Part of,
78,Line,,2,,,6,4,Arrow,Arrow,,Part of,
79,Line,,2,,,8,4,Arrow,Arrow,,Part of,
80,Line,,2,,,9,11,Arrow,Arrow,,Part of,
81,Line,,2,,,7,11,Arrow,Arrow,,Part of,
82,Line,,2,,,11,12,Arrow,Arrow,,Part of,
83,Line,,2,,,4,95,Arrow,Arrow,,relates through,
84,Line,,2,,,15,5,Arrow,Arrow,,Type of,
85,Line,,2,,,16,5,Arrow,Arrow,,Type of,
86,Line,,2,,,18,5,Arrow,Arrow,,Type of,
87,Line,,2,,,17,5,Arrow,Arrow,,Type of,
88,Line,,2,,,22,5,Arrow,Arrow,,Type of,
89,Line,,2,,,20,8,Arrow,Arrow,,Type of,
90,Line,,2,,,21,8,Arrow,Arrow,,Type of,
91,Line,,2,,,22,23,Arrow,Arrow,,Type of,
92,Line,,2,,,28,9,Arrow,Arrow,,Type of,
93,Line,,2,,,26,9,Arrow,Arrow,,Type of,
94,Line,,2,,,27,9,Arrow,Arrow,,Type of,
95,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Phasic responses' to 'Substance use behaviour' Part of relationship,
96,Line,,2,,,95,12,Arrow,Arrow,,relates to,
