Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,56. Self-determination theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Needs,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Autonomy ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Competence,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Relatedness,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Supports,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Frustration of needs,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Satisfaction / fulfillment of needs,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Internalisation,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Introjected regulation ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Identified regulation ,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Integrated regulation ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrinsic regulation,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,External regulation ,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Non-regulation,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Amotivation ,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Extrinsic motivation / goals ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrinsic motivation / goals,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social contexts,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Thwarts,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Autonomous motivation,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Controlled motivation,
31,Line,,2,,,9,10,None,Arrow,,​+,
32,Line,,2,,,8,10,None,Arrow,,​-,
33,Line,,2,,,3,9,None,Arrow,,,
34,Line,,2,,,3,8,None,Arrow,,,
38,Line,,2,,,10,13,None,Arrow,,,
39,Line,,2,,,10,12,None,Arrow,,,
40,Line,,2,,,10,11,None,Arrow,,,
41,Line,,2,,,10,15,None,Arrow,,,
42,Line,,2,,,14,21,None,Arrow,,,
47,Line,,2,,,19,23,None,Arrow,,,
48,Line,,2,,,9,14,None,Arrow,,,
49,Line,,2,,,8,16,None,Arrow,,,
50,Line,,2,,,7,9,None,Arrow,,,
51,Line,,2,,,25,8,None,Arrow,,,
55,Line,,2,,,16,17,None,Arrow,,,
56,Line,,2,,,22,3,None,Arrow,,,
62,Line,,2,,,11,18,None,Arrow,,,
63,Line,,2,,,12,18,None,Arrow,,,
64,Line,,2,,,13,18,None,Arrow,,,
65,Line,,2,,,15,18,None,Arrow,,,
71,Line,,2,,,18,19,None,Arrow,,Type of,
72,Line,,2,,,21,19,None,Arrow,,Type of,
73,Line,,2,,,17,19,None,Arrow,,Type of,
74,Line,,2,,,26,19,None,Arrow,,Type of,
75,Line,,2,,,27,19,None,Arrow,,Type of,
76,Line,,2,,,5,3,None,Arrow,,Type of,
77,Line,,2,,,4,3,None,Arrow,,Type of,
78,Line,,2,,,6,3,None,Arrow,,Type of,
79,Line,,2,,,14,26,None,Arrow,,Type of,
80,Line,,2,,,13,26,None,Arrow,,Type of,
81,Line,,2,,,12,26,None,Arrow,,Type of,
82,Line,,2,,,15,27,None,Arrow,,Type of,
83,Line,,2,,,11,27,None,Arrow,,Type of,
84,Line,,2,,,7,22,None,Arrow,,Part of,
85,Line,,2,,,25,22,None,Arrow,,Part of,
