Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,6. Change Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Driving forces,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Restraining forces,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Unfreezing,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Moving ,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Freezing,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Quasi-stationary equilibrium,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Group decision,
11,Line,,2,,,8,30,None,Arrow,,relates through,
12,Line,,2,,,5,32,None,Arrow,,relates through,
13,Line,,2,,,6,34,None,Arrow,,relates through,
17,Line,,2,,,7,8,None,Arrow,,Transition,
21,Line,,2,,,3,30,None,Arrow,,*,
22,Line,,2,,,3,32,None,Arrow,,*,
23,Line,,2,,,3,34,None,Arrow,,*,
24,Line,,2,,,4,30,None,Arrow,,*,
25,Line,,2,,,4,32,None,Arrow,,*,
26,Line,,2,,,4,34,None,Arrow,,*,
27,Line,,2,,,9,30,None,Arrow,,*,
28,Line,,2,,,9,32,None,Arrow,,*,
29,Line,,2,,,9,34,None,Arrow,,*,
30,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Quasi-stationary equilibrium' to 'Unfreezing' Transitions to relationship,
31,Line,,2,,,30,5,None,Arrow,,relates to,
32,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Unfreezing' to 'Moving' Transitions to relationship,
33,Line,,2,,,32,6,None,Arrow,,relates to,
34,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Moving' to 'Freezing' Transitions to relationship,
35,Line,,2,,,34,7,None,Arrow,,relates to,
