Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,64. Social consensus model of health education - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual knowledge,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual beliefs,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual attitudes,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Social knowledge,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Social beliefs,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Social meanings,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Education,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Social environment / consensus ,
13,Process,Flowchart Shapes,2,,,,,,,,,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Stereotypes,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal relevance,
17,Line,,2,,,3,4,None,Arrow,,,
18,Line,,2,,,12,47,None,Arrow,,relates through,
19,Line,,2,,,11,3,None,Arrow,,,
20,Line,,2,,,11,5,None,Arrow,,,
21,Line,,2,,,11,6,None,Arrow,,,
27,Line,,2,,,5,4,None,Arrow,,,
28,Line,,2,,,6,4,None,Arrow,,,
29,Line,,2,,,12,6,None,Arrow,,,
30,Line,,2,,,12,5,None,Arrow,,,
31,Line,,2,,,12,3,None,Arrow,,,
32,Line,,2,,,8,16,Arrow,Arrow,,,
33,Line,,2,,,7,16,Arrow,Arrow,,,
34,Line,,2,,,16,47,None,Arrow,,,
35,Line,,2,,,11,7,None,Arrow,,,
36,Line,,2,,,11,8,None,Arrow,,,
37,Line,,2,,,11,9,None,Arrow,,,
38,Line,,2,,,11,10,None,Arrow,,,
39,Line,,2,,,11,14,None,Arrow,,,
41,Line,,2,,,9,16,None,Arrow,,,
42,Line,,2,,,7,12,None,Arrow,,Part of,
43,Line,,2,,,8,12,None,Arrow,,Part of,
44,Line,,2,,,9,12,None,Arrow,,Part of,
45,Line,,2,,,10,12,None,Arrow,,Part of,
46,Line,,2,,,14,12,None,Arrow,,Part of,
47,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Social environment / consensus' to 'Behaviour' Influences relationship,
48,Line,,2,,,47,4,None,Arrow,,relates to,
