Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,66. Social Ecological Model of Behaviour Change - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural beliefs and their evaluative aspects,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative beliefs and motivation to change,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Efficacy beliefs,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention to change,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour change,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social ecology,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Enabling factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Local and external investment ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Constraints on agency,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Time,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Economic,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Political and financial commitments,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Community priorities,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Organisational support,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Abilities,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Trigger for change,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Health impact,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Sustainability,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Culturally acceptable intervention,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Culturally compelling intervention,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Effective intervention,
40,Line,,2,,,3,9,None,Arrow,,,
41,Line,,2,,,9,109,None,Arrow,,relates through,
58,Line,,2,,,11,109,None,Arrow,,,
59,Line,,2,,,25,109,None,Arrow,,,
60,Line,,2,,,10,26,None,Arrow,,,
61,Line,,2,,,27,26,None,Arrow,,,
62,Line,,2,,,27,10,None,Arrow,,,
73,Line,,2,,,4,9,None,Arrow,,,
74,Line,,2,,,5,9,None,Arrow,,,
78,Line,,2,,,8,7,None,Arrow,,,
79,Line,,2,,,26,6,None,Arrow,,,
80,Line,,2,,,26,7,None,Arrow,,,
81,Line,,2,,,26,8,None,Arrow,,,
86,Line,,2,,,12,11,None,Arrow,,Part of,
87,Line,,2,,,13,11,None,Arrow,,Part of,
88,Line,,2,,,14,11,None,Arrow,,Part of,
89,Line,,2,,,3,28,None,Arrow,,Part of,
90,Line,,2,,,4,28,None,Arrow,,Part of,
91,Line,,2,,,5,28,None,Arrow,,Part of,
92,Line,,2,,,9,29,None,Arrow,,Part of,
93,Line,,2,,,10,29,None,Arrow,,Part of,
94,Line,,2,,,25,29,None,Arrow,,Part of,
95,Line,,2,,,26,32,None,Arrow,,Part of,
96,Line,,2,,,27,32,None,Arrow,,Part of,
97,Line,,2,,,6,3,None,Arrow,,Part of,
98,Line,,2,,,7,4,None,Arrow,,Part of,
99,Line,,2,,,8,5,None,Arrow,,Part of,
100,Line,,2,,,18,14,None,Arrow,,Type of,
101,Line,,2,,,17,14,None,Arrow,,Type of,
102,Line,,2,,,16,14,None,Arrow,,Type of,
103,Line,,2,,,15,14,None,Arrow,,Type of,
104,Line,,2,,,22,13,None,Arrow,,Type of,
105,Line,,2,,,21,13,None,Arrow,,Type of,
106,Line,,2,,,20,13,None,Arrow,,Type of,
107,Line,,2,,,23,12,None,Arrow,,Type of,
108,Line,,2,,,24,12,None,Arrow,,Type of,
109,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Intention to change' to 'Behaviour change' Influences relationship,
110,Line,,2,,,109,10,None,Arrow,,relates to,
