Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,68. Social Identity Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Social groups,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,In-groups,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Out-groups,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-reference,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Value connotations,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Social comparisons,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social categorisation ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-esteem / self-concept,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Inter-group differentiation,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Group membership / social mobility,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Internalised group membership,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Social situation,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Out-group comparability,
18,Process,Flowchart Shapes,2,,,,,,,,,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Social competition,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Social identity,
22,Line,,2,,,11,3,None,Arrow,,,
26,Line,,2,,,11,7,None,Arrow,,,
30,Line,,2,,,9,10,None,Arrow,,,
31,Line,,2,,,10,7,None,Arrow,,​+,
32,Line,,2,,,20,14,None,Arrow,,​-,
33,Line,,2,,,20,53,None,Arrow,,relates through,
34,Line,,2,,,12,53,None,Arrow,,,
35,Line,,2,,,13,9,None,Arrow,,,
36,Line,,2,,,15,13,None,Arrow,,,
37,Line,,2,,,16,13,None,Arrow,,,
38,Line,,2,,,17,13,None,Arrow,,,
39,Line,,2,,,19,13,None,Arrow,,,
40,Line,,2,,,9,12,None,Arrow,,,
41,Line,,2,,,20,19,None,Arrow,,​-,
42,Line,,2,,,20,9,None,Arrow,,,
43,Line,,2,,,20,6,None,Arrow,,,
47,Line,,2,,,5,3,None,Arrow,,Type of,
48,Line,,2,,,6,3,None,Arrow,,Type of,
49,Line,,2,,,3,20,None,Arrow,,*,
50,Line,,2,,,7,20,None,Arrow,,*,
51,Line,,2,,,9,6,None,Arrow,,Part of,
52,Line,,2,,,9,5,None,Arrow,,Part of,
53,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Social identity' to 'Inter-group differentiation' Influences relationship,
54,Line,,2,,,53,13,None,Arrow,,relates to,
