Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,69. Social Influence Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Purposive value,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Informational value,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Instrumental value,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Value perception / motives,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-discovery,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-referent values,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Group-referent values,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Maintaining interpersonal connectivity,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Social enhancement,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Entertainment value,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Identification,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Internalisation,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social identity,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluative,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Group norms,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Mutual agreement,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Mutual accommodation,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Desires,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,We-intentions,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Decision-making and participation,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Network-based virtual communities,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Small-group-based virtual communitites,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Community,
56,Line,,2,,,8,27,Arrow,Arrow,,,
58,Line,,2,,,27,22,Arrow,Arrow,,,
59,Line,,2,,,28,126,None,Arrow,,​+,
60,Line,,2,,,29,126,None,Arrow,,​+,
61,Line,,2,,,27,126,None,Arrow,,relates through,
62,Line,,2,,,30,31,None,Arrow,,​+,
63,Line,,2,,,28,27,Arrow,Arrow,,Correlation,
64,Line,,2,,,29,27,Arrow,Arrow,,Correlation,
65,Line,,2,,,22,30,None,Arrow,,​+,
66,Line,,2,,,31,3,None,Arrow,,,
67,Line,,2,,,27,31,None,Arrow,,​+,
68,Line,,2,,,22,31,None,Arrow,,​+,
69,Line,,2,,,21,3,None,Arrow,,,
73,Line,,2,,,11,128,None,Arrow,,relates through,
77,Line,,2,,,37,128,None,Arrow,,,
87,Line,,2,,,13,130,None,Arrow,,relates through,
88,Line,,2,,,37,130,None,Arrow,,,
90,Line,,2,,,5,4,None,Arrow,,Part of,
91,Line,,2,,,6,4,None,Arrow,,Part of,
92,Line,,2,,,4,22,None,Arrow,,Type of,
93,Line,,2,,,4,8,None,Arrow,,Type of,
94,Line,,2,,,10,22,None,Arrow,,Type of,
95,Line,,2,,,10,8,None,Arrow,,Type of,
96,Line,,2,,,16,22,None,Arrow,,Type of,
97,Line,,2,,,16,8,None,Arrow,,Type of,
98,Line,,2,,,17,22,None,Arrow,,Type of,
99,Line,,2,,,17,8,None,Arrow,,Type of,
100,Line,,2,,,15,22,None,Arrow,,Type of,
101,Line,,2,,,15,8,None,Arrow,,Type of,
102,Line,,2,,,4,11,None,Arrow,,Part of,
103,Line,,2,,,10,11,None,Arrow,,Part of,
104,Line,,2,,,16,13,None,Arrow,,Part of,
105,Line,,2,,,15,13,None,Arrow,,Part of,
106,Line,,2,,,18,21,None,Arrow,,Part of,
107,Line,,2,,,18,21,None,Arrow,,Part of,
108,Line,,2,,,19,21,None,Arrow,,Part of,
109,Line,,2,,,19,21,None,Arrow,,Part of,
110,Line,,2,,,27,21,None,Arrow,,Part of,
111,Line,,2,,,27,21,None,Arrow,,Part of,
112,Line,,2,,,28,21,None,Arrow,,Part of,
113,Line,,2,,,28,21,None,Arrow,,Part of,
114,Line,,2,,,29,21,None,Arrow,,Part of,
115,Line,,2,,,29,21,None,Arrow,,Part of,
116,Line,,2,,,22,21,None,Arrow,,Part of,
117,Line,,2,,,22,21,None,Arrow,,Part of,
118,Line,,2,,,23,22,None,Arrow,,Part of,
119,Line,,2,,,25,22,None,Arrow,,Part of,
120,Line,,2,,,24,22,None,Arrow,,Part of,
121,Line,,2,,,3,32,None,Arrow,,Part of,
122,Line,,2,,,31,32,None,Arrow,,Part of,
123,Line,,2,,,30,32,None,Arrow,,Part of,
124,Line,,2,,,35,37,None,Arrow,,Part of,
125,Line,,2,,,34,37,None,Arrow,,Part of,
126,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Group norms' to 'Desires' Influences relationship,
127,Line,,2,,,126,30,None,Arrow,,relates to,
128,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Self-referent values' to 'Social influences' Influences relationship,
129,Line,,2,,,128,21,None,Arrow,,relates to,
130,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Group-referent values' to 'Social influences' Influences relationship,
131,Line,,2,,,130,21,None,Arrow,,relates to,
