Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,71. Social Norms Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Injuctive norms,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Descriptive norms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived norms,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Actual norms,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Misperceptions,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Pluralistic ignorance,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,False consensus,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,False uniqueness,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Healthy behaviour,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Corrected misperceptions,
25,Line,,2,,,8,13,None,Arrow,, - ,
27,Line,,2,,,8,15,None,Arrow,,,
28,Line,,2,,,15,13,None,Arrow,,​+,
30,Line,,2,,,3,5,None,Arrow,,Type of,
31,Line,,2,,,3,7,None,Arrow,,Type of,
32,Line,,2,,,4,5,None,Arrow,,Type of,
33,Line,,2,,,4,7,None,Arrow,,Type of,
34,Line,,2,,,7,8,None,Arrow,,*,
35,Line,,2,,,5,8,None,Arrow,,*,
36,Line,,2,,,9,8,None,Arrow,,Type of,
37,Line,,2,,,10,8,None,Arrow,,Type of,
38,Line,,2,,,11,8,None,Arrow,,Type of,
